"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"60","P","Olivier Pla","3","1:38.747","5:32.742","Green","Track","3.084","8.325","11.644","3.695","0.480","13.094","20.038","30.008","5.261","3.118","171.165"
"22","GTD","Gunnar Jeannette","3","1:48.102","5:44.174","Green","Track","3.328","9.108","12.663","3.931","0.506","14.420","22.340","32.396","5.965","3.445","162.370"
"2","P","Johannes van Overbeek","3","1:42.803","5:49.056","Green","Track","3.073","8.422","11.739","3.898","0.493","13.955","20.826","31.867","5.407","3.123","166.651"
"44","GTD","Andy Lally","3","1:48.752","5:52.543","Green","Track","3.286","8.916","13.363","4.050","0.529","14.888","22.039","32.336","5.912","3.433","155.310"
"90","P","Ryan Dalziel","3","1:40.577","6:00.739","Green","Track","3.137","8.558","11.542","3.614","0.470","13.687","20.512","30.458","5.459","3.140","174.807"
"4","GTLM","Tommy Milner","3","1:47.441","6:00.832","Green","Track","3.304","8.762","12.562","3.940","0.509","14.544","22.492","32.056","5.860","3.412","161.413"
"3","GTLM","Antonio Garcia","3","1:46.111","6:02.747","Green","Track","3.281","8.777","12.470","3.899","0.502","14.039","21.451","32.511","5.802","3.379","163.664"
"68","GTLM","Alessandro Pier Guidi","3","1:46.093","6:04.868","Green","Track","3.273","8.720","12.401","3.884","0.504","14.710","21.868","31.668","5.720","3.345","163.014"
"100","GTLM","John Edwards","2","2:46.188","6:15.066","Green","Pit","14.433","10.634","13.796","4.019","0.542","15.599","23.585","33.107","10.242","40.231","151.585"
"38","PC","Kenton Koch","3","1:44.028","6:15.260","Green","Track","3.271","8.765","12.153","3.855","0.500","13.881","21.301","31.240","5.776","3.286","164.318"
"20","PC","Johnny Mowlem","3","1:43.989","6:20.260","Green","Track","3.139","8.700","11.953","3.778","0.488","13.967","22.183","31.012","5.559","3.210","168.359"
"67","GTLM","Ryan Briscoe","3","1:48.342","6:22.171","Green","Track","3.297","8.968","12.309","3.841","0.517","15.229","22.221","32.605","5.971","3.384","158.915"
"33","GTD","Jeroen Bleekemolen","3","1:51.018","6:23.803","Green","Track","3.261","9.297","12.674","3.890","0.498","15.348","23.733","32.753","6.147","3.417","164.978"
"55","P","Tristan Nunez","2","2:46.162","6:27.417","Green","Pit","42.219","10.790","14.081","3.998","0.603","16.442","23.175","32.201","6.931","15.722","136.251"
"97","GTD","Markus Palttala","3","1:48.750","6:31.141","Green","Track","3.263","8.978","12.472","3.909","0.503","14.598","22.866","32.724","6.055","3.382","163.338"
"6","GTD","Andrew Davis","3","1:48.274","6:32.544","Green","Track","3.243","8.796","12.437","3.856","0.495","14.178","22.098","33.716","6.049","3.406","165.978"
"25","GTLM","Dirk Werner","3","1:46.626","6:33.568","Green","Track","3.199","8.633","12.130","3.819","0.495","14.005","22.496","32.038","6.381","3.430","165.978"
"9","GTD","Matt Bell","3","1:49.171","6:34.219","Green","Track","3.255","8.822","12.434","3.844","0.493","15.059","22.695","33.068","6.072","3.429","166.651"
"10","P","Max Angelelli","3","1:42.214","6:34.629","Green","Track","3.086","8.888","11.690","3.644","0.472","13.819","20.876","30.931","5.622","3.186","174.066"
"73","GTD","Jorg Bergmeister","3","2:36.938","6:38.820","Green","Pit","3.300","8.971","12.532","3.903","0.503","14.431","22.259","33.825","7.128","50.086","163.338"
"0","P","Sean Rayhall","3","1:51.078","6:40.481","Green","Track","3.211","9.003","11.974","3.776","0.533","14.678","21.825","37.075","5.796","3.207","154.145"
"540","GTD","Andy Pilgrim","3","1:50.527","6:45.721","Green","Track","3.333","9.255","12.990","4.001","0.514","14.898","22.767","33.180","6.111","3.478","159.843"
"62","GTLM","Toni Vilander","3","1:45.787","6:46.842","Green","Track","3.278","8.789","12.454","3.904","0.504","14.137","21.794","31.779","5.773","3.375","163.014"
"48","GTD","Bryce Miller","2","2:59.323","6:48.477","Green","Pit","14.444","11.023","14.875","4.389","0.599","16.416","23.872","34.700","8.112","50.893","137.160"
"66","GTLM","Joey Hand","3","1:45.339","6:53.568","Green","Track","3.239","8.663","12.779","3.883","0.500","13.957","21.506","31.666","5.795","3.351","164.318"
"96","GTD","Jens Klingmann","3","1:47.532","6:59.943","Green","Track","3.265","8.913","12.441","3.886","0.501","15.748","21.738","31.839","5.829","3.372","163.990"
"31","P","Dane Cameron","4","1:38.652","7:02.318","Green","Track","3.022","8.501","11.657","3.637","0.473","12.636","20.238","30.119","5.259","3.110","173.698"
"52","PC","Jose Gutierrez","3","2:27.076","7:09.201","Green","Track","46.376","9.882","12.372","3.843","0.502","13.777","21.024","30.674","5.408","3.218","163.664"
"60","P","Olivier Pla","4","1:38.845","7:11.587","Green","Track","3.022","8.199","11.611","3.668","0.474","13.224","20.481","29.756","5.276","3.134","173.331"
"5","P","Christian Fittipaldi","4","1:52.888","7:13.324","Green","Pit","3.028","8.260","11.551","3.622","0.469","12.935","20.700","30.048","6.482","15.793","175.179"
"911","GTLM","Nick Tandy","3","1:49.734","7:16.415","Green","Track","3.467","9.311","12.534","3.898","0.515","15.091","22.544","32.822","6.113","3.439","159.532"
"16","GTD","Spencer Pumpelly","2","2:55.964","7:17.950","Green","Pit","14.999","11.048","15.001","4.105","0.564","16.835","24.482","34.577","7.326","47.027","145.672"
"912","GTLM","Earl Bamber","3","1:52.341","7:18.293","Green","Track","3.772","9.442","12.526","4.956","0.662","15.472","23.245","32.933","5.877","3.456","124.107"
"70","P","Joel Miller","2","3:11.127","7:20.405","Green","Pit","56.482","12.907","16.733","4.274","0.638","17.913","24.617","34.619","7.178","15.766","128.776"
"2","P","Johannes van Overbeek","4","1:39.779","7:28.835","Green","Track","3.041","8.203","11.590","3.687","0.477","13.154","20.495","30.256","5.695","3.181","172.241"
"54","PC","Mark Wilkins","3","2:44.851","7:29.058","Green","Track","47.838","11.984","15.507","4.210","0.600","16.578","24.506","34.124","6.151","3.353","136.932"
"44","GTD","Andy Lally","4","1:46.479","7:39.022","Green","Track","3.272","8.731","12.544","3.925","0.506","14.175","22.169","31.915","5.823","3.419","162.370"
"90","P","Ryan Dalziel","4","1:38.584","7:39.323","Green","Track","3.046","8.243","11.565","3.652","0.472","12.996","20.148","29.957","5.376","3.129","174.066"
"23","GTD","Ian James","3","2:49.038","7:41.903","Green","Track","52.464","13.310","15.747","4.242","0.539","15.667","23.530","33.533","6.455","3.551","152.429"
"4","GTLM","Tommy Milner","4","1:45.115","7:45.947","Green","Track","3.303","8.747","12.470","3.923","0.504","13.904","21.482","31.646","5.750","3.386","163.014"
"22","GTD","Gunnar Jeannette","4","2:01.761","7:45.935","Green","Pit","3.305","9.007","12.597","3.929","0.506","14.426","22.418","32.599","7.097","15.877","162.370"
"3","GTLM","Antonio Garcia","4","1:44.249","7:46.996","Green","Track","3.243","8.705","12.397","3.875","0.501","13.810","21.249","31.383","5.714","3.372","163.990"
"68","GTLM","Alessandro Pier Guidi","4","1:43.651","7:48.519","Green","Track","3.226","8.582","12.331","3.876","0.501","13.623","21.203","31.210","5.734","3.365","163.990"
