"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"44","GTD","Andy Lally","10","1:32.407","30:42.114","Finish","Track","3.409","12.682","0.571","13.780","10.372","9.811","0.575","13.566","10.336","10.428","2.407","4.470","138.513","141.107"
"22","GTD","Leh Keen","11","1:32.819","30:43.245","Finish","Track","3.346","12.786","0.561","13.549","10.466","9.576","0.562","13.481","10.410","11.315","2.376","4.391","140.982","144.371"
"33","GTD","Ben Keating","10","1:32.805","30:43.627","Finish","Track","3.473","12.919","0.561","13.900","10.679","9.612","0.560","13.416","10.396","10.502","2.379","4.408","140.982","144.886"
"6","GTD","Andrew Davis","11","1:31.757","30:44.381","Finish","Track","3.345","12.597","0.571","13.654","10.465","9.884","0.577","13.388","10.240","10.162","2.406","4.468","138.513","140.618"
"16","GTD","Corey Lewis","12","1:32.401","30:46.791","Finish","Track","3.414","12.658","0.566","13.812","10.491","9.844","0.571","13.651","10.287","10.256","2.407","4.444","139.737","142.095"
"73","GTD","Jorg Bergmeister","11","1:31.974","30:48.104","Finish","Track","3.485","12.677","0.564","13.690","10.427","9.672","0.563","13.648","10.254","10.148","2.417","4.429","140.232","144.114"
"20","PC","Tomy Drissi","10","1:34.565","30:52.227","Finish","Track","3.712","12.636","0.548","14.288","10.960","9.332","0.562","14.344","10.691","10.773","2.339","4.380","144.326","144.371"
"48","GTD","Bryan Sellers","9","1:33.470","30:53.181","Finish","Track","3.452","12.713","0.565","13.527","10.384","9.801","0.572","13.804","11.094","10.665","2.427","4.466","139.984","141.847"
"9","GTD","Lawson Aschenbach","11","1:31.574","30:56.488","Finish","Track","3.259","12.737","0.575","13.524","10.350","9.912","0.581","13.416","10.312","10.042","2.394","4.472","137.549","139.650"
"97","GTD","Markus Palttala","11","1:31.063","31:01.028","Finish","Track","3.303","12.479","0.561","13.514","10.373","9.713","0.566","13.404","10.298","10.067","2.380","4.405","140.982","143.350"
"52","PC","Tom Kimber-Smith","10","1:29.653","31:26.190","Finish","Track","3.308","12.280","0.545","13.522","10.270","9.269","0.549","13.379","10.123","9.903","2.278","4.227","145.121","147.789"
