"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"88","PC","Remo Ruscitti","53","2:22.010","1:41:05.855","Green","Track","42.874","8.826","12.176","3.768","0.486","13.925","21.066","30.281","5.416","3.192","169.052"
"0","P","Gabby Chaves","52","1:43.668","1:41:08.647","Green","Track","3.043","8.576","11.734","3.651","0.496","14.146","21.765","31.202","5.882","3.173","165.643"
"48","GTD","Madison Snow","50","1:47.444","1:41:08.615","Green","Track","3.251","9.085","12.471","3.863","0.496","14.456","22.056","32.408","5.956","3.402","165.643"
"540","GTD","Tim Pappas","51","1:50.682","1:41:11.688","Green","Track","3.353","9.432","12.875","3.981","0.511","14.737","23.020","33.236","6.081","3.456","160.781"
"8","PC","Alex Popow","54","1:43.775","1:41:14.335","Green","Track","3.261","8.908","12.049","3.841","0.497","14.034","21.351","30.980","5.574","3.280","165.310"
"38","PC","James French","54","1:54.568","1:41:14.383","Green","Track","14.618","9.171","12.178","3.805","0.491","13.405","21.259","31.075","5.399","3.167","167.330"
"85","PC","Misha Goikhberg","54","1:42.470","1:41:39.254","Green","Track","3.123","8.344","12.078","3.837","0.496","13.667","20.815","31.085","5.762","3.263","165.643"
"5","P","Joao Barbosa","55","1:38.217","1:41:39.402","Green","Track","3.007","8.279","11.586","3.628","0.468","12.662","20.284","29.800","5.400","3.103","175.554"
"90","P","Ryan Dalziel","55","1:38.225","1:41:40.910","Green","Track","3.007","8.404","11.625","3.659","0.470","12.663","20.046","29.782","5.438","3.131","174.807"
"67","GTLM","Richard Westbrook","53","1:42.906","1:41:41.031","Green","Track","3.185","8.491","12.176","3.816","0.493","13.478","20.973","31.357","5.620","3.317","166.651"
"55","P","Tristan Nunez","55","1:38.296","1:41:41.064","Green","Track","2.984","8.458","11.659","3.689","0.477","12.643","20.098","29.724","5.478","3.086","172.241"
"10","P","Max Angelelli","55","1:38.248","1:41:45.446","Green","Track","3.019","8.335","11.731","3.697","0.477","12.813","20.182","29.479","5.355","3.160","172.241"
"31","P","Dane Cameron","55","1:37.036","1:41:49.213","Green","Track","3.050","8.160","11.576","3.650","0.470","12.559","19.985","29.212","5.263","3.111","174.807"
"2","P","Luis Felipe Derani","55","1:37.988","1:41:58.364","Green","Track","3.013","8.291","11.650","3.714","0.481","12.672","19.598","29.973","5.444","3.152","170.809"
"9","GTD","Lawson Aschenbach","52","1:46.303","1:41:59.197","Green","Track","3.238","8.726","12.799","3.929","0.505","14.114","21.556","32.042","5.993","3.401","162.691"
