"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP1","SP4"
"9","GTD","Matt Bell","23","7:19.660","58:56.251","Green","Pit","3.616","12.947","0.569","13.629","10.454","9.881","0.579","13.766","12.540","13.283","9.193","139.000","140.132"
"8","PC","Renger Van Der Zande","20","1:46.888","58:56.709","Green","Track","9.592","14.750","0.576","14.831","11.790","9.659","0.633","14.868","10.960","11.983","2.384","137.311","128.178"
"63","GTD","Christina Nielsen","7","7:31.093","58:57.146","Green","Track","223.825","17.878","0.771","16.785","12.269","10.047","0.643","16.827","11.494","12.150","2.559","102.582","126.184"
"16","GTD","Corey Lewis","15","1:52.524","58:58.331","Green","Track","9.849","17.219","0.611","15.421","12.966","10.196","0.633","15.438","11.118","11.764","2.511","129.445","128.178"
"20","PC","Tomy Drissi","21","1:47.841","59:00.410","Green","Track","9.545","15.496","0.606","15.432","11.665","9.369","0.586","15.279","11.396","11.414","2.366","130.513","138.458"
"44","GTD","John Potter","22","8:42.224","59:06.407","Green","Track","313.170","18.413","0.611","15.727","11.695","9.991","0.618","14.880","10.690","11.259","2.480","129.445","131.289"
"38","PC","Kyle Marcelli","22","8:06.256","59:11.242","Green","Pit","3.427","11.984","0.534","13.540","10.366","9.177","0.551","13.787","10.645","11.550","7.325","148.110","147.253"
"33","GTD","Jeroen Bleekemolen","20","9:26.649","59:42.760","Green","Track","363.827","15.422","0.621","15.101","11.152","9.792","0.635","15.462","11.047","10.556","2.403","127.361","127.774"
"10","P","Jordan Taylor","21","1:25.357","59:43.540","Green","Track","3.108","11.384","0.522","12.815","9.825","8.927","0.534","12.680","9.812","9.499","2.184","151.515","151.941"
"90","P","Marc Goossens","25","1:26.592","59:46.833","Green","Track","3.050","11.595","0.519","13.212","9.720","8.993","0.531","12.960","10.082","9.483","2.191","152.391","152.799"
"60","P","Katherine Legge","20","1:52.289","59:47.733","Green","Track","9.740","16.039","0.694","17.084","11.553","9.212","0.550","15.633","11.598","12.611","2.552","113.964","147.521"
"31","P","Eric Curran","28","1:29.150","59:53.197","Green","Track","3.236","11.521","0.515","13.333","9.962","8.899","0.584","14.495","10.465","9.933","2.177","153.575","138.932"
"48","GTD","Madison Snow","23","1:44.498","59:55.010","Green","Track","9.425","14.672","0.575","14.990","10.966","9.963","0.583","14.669","10.702","11.053","2.430","137.549","139.170"
"55","P","Tristan Nunez","20","1:28.615","59:55.845","Green","Track","3.310","11.932","0.524","13.272","10.049","8.975","0.543","13.770","9.986","9.885","2.186","150.937","149.422"
