"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"6","GTD","Robin Liddell","12","1:18.665","19:39.347","Green","Track","3.027","20.813","23.970","11.826","0.441","7.675","4.309","6.604","154.865"
"3","GTLM","Jan Magnussen","13","1:17.062","19:47.676","Green","Track","2.962","19.973","23.672","11.734","0.444","7.537","4.037","6.703","153.819"
"25","GTLM","Bill Auberlen","13","1:16.623","19:48.036","Green","Track","2.974","19.840","23.581","11.502","0.434","7.664","4.086","6.542","157.363"
"912","GTLM","Frederic Makowiecki","14","1:17.120","19:49.150","Green","Track","2.979","19.997","23.609","11.580","0.434","7.643","3.966","6.912","157.363"
"10","P","Jordan Taylor","14","1:11.751","19:49.381","Green","Track","2.738","18.017","22.615","10.825","0.410","6.993","3.837","6.316","166.574"
"23","GTD","Mario Farnbacher","13","1:20.252","19:49.386","Green","Track","3.082","20.703","24.216","11.920","0.447","8.302","4.411","7.171","152.786"
"52","PC","Tom Kimber-Smith","14","1:13.530","19:53.333","Green","Track","2.815","19.613","22.581","11.114","0.424","6.860","3.935","6.188","161.074"
"911","GTLM","Patrick Pilet","13","1:17.653","19:56.581","Green","Track","3.023","20.140","24.178","11.677","0.438","7.437","4.155","6.605","155.926"
"31","P","Dane Cameron","13","1:59.997","19:59.593","Green","Pit","32.357","25.070","23.552","11.377","0.482","7.621","5.931","13.607","141.692"
"27","GTD","Fabio Babini","8","1:19.392","20:00.515","Finish","Track","3.106","21.201","24.080","11.700","0.436","7.827","4.234","6.808","156.641"
"4","GTLM","Tommy Milner","14","1:16.871","20:00.631","Finish","Track","2.973","19.806","23.500","11.709","0.441","7.614","4.163","6.665","154.865"
"5","P","Joao Barbosa","14","1:12.027","20:01.775","Finish","Track","2.774","18.152","22.947","10.840","0.413","7.053","3.791","6.057","165.364"
"90","P","Ryan Dalziel","15","1:10.889","20:02.689","Finish","Track","2.799","18.116","22.045","10.792","0.409","6.799","3.833","6.096","166.982"
"63","GTD","Christina Nielsen","12","2:43.433","20:05.815","Finish","Track","76.090","29.399","25.955","11.970","0.450","8.227","4.599","6.743","151.768"
"38","PC","James French","14","1:14.360","20:09.096","Finish","Track","2.868","19.236","23.107","11.197","0.429","7.307","3.942","6.274","159.197"
"97","GTD","Markus Palttala","14","1:18.787","20:11.797","Finish","Track","3.054","20.583","24.448","11.573","0.436","7.754","4.248","6.691","156.641"
"96","GTD","Bret Curtis","12","1:20.756","20:15.419","Finish","Track","3.272","21.449","24.441","11.553","0.434","8.170","4.615","6.822","157.363"
"60","P","Oswaldo Negri","13","1:31.322","20:15.618","Finish","Track","9.650","26.862","23.873","10.919","0.451","8.276","4.665","6.626","151.431"
"9","GTD","Lawson Aschenbach","14","1:18.719","20:16.279","Finish","Track","3.076","20.540","24.329","11.751","0.438","7.623","4.267","6.695","155.926"
