"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"25","GTLM","Dirk Werner","6","2:05.548","38:22.101","Green","Track","1.471","19.820","23.947","9.227","9.713","0.457","4.641","0.415","22.785","24.513","8.559","146.832","161.692"
"100","GTLM","John Edwards","6","2:05.945","38:25.743","Green","Track","1.467","19.841","23.931","9.400","9.651","0.454","4.609","0.413","22.849","24.712","8.618","147.802","162.475"
"66","GTLM","Dirk Mueller","6","2:05.322","38:28.611","Green","Track","1.466","19.766","23.684","9.295","9.680","0.453","4.599","0.411","23.067","24.329","8.572","148.129","163.266"
"67","GTLM","Ryan Briscoe","6","2:08.269","39:10.942","Green","Track","1.467","19.812","23.418","9.139","9.686","0.453","4.618","0.413","25.627","25.133","8.503","148.129","162.475"
"4","GTLM","Oliver Gavin","6","2:29.788","39:42.754","Green","Pit","1.460","19.800","24.147","9.302","9.679","0.454","4.583","0.423","26.914","27.916","25.110","147.802","158.634"
"912","GTLM","Frederic Makowiecki","6","2:06.843","39:52.506","Green","Track","1.478","19.874","24.416","9.479","9.745","0.459","4.663","0.418","22.997","24.741","8.573","146.192","160.532"
"3","GTLM","Jan Magnussen","7","2:26.659","40:42.610","Finish","Pit","1.447","19.960","24.026","9.324","9.804","0.490","5.365","0.554","24.419","26.186","25.084","136.943","121.123"
"7","PC","Jose Gutierrez","1","52:22.911","52:22.911","Green","Track","2061.636","24.493","25.311","9.750","9.290","0.444","4.558","0.452","24.083","24.540","8.326","151.131","148.456"
"8","PC","Alex Popow","1","52:23.486","52:23.486","Green","Track","2037.084","25.878","25.458","10.024","9.513","0.478","5.031","0.508","23.906","24.965","8.163","140.381","132.091"
"38","PC","Nicholas Boulle","1","52:32.478","52:32.478","Green","Track","6.110","26.847","27.317","10.258","9.383","0.509","5.453","0.530","24.437","24.787","8.344","131.832","126.608"
"52","PC","Robert Alon","1","52:41.577","52:41.577","Green","Track","6.156","28.081","27.103","11.605","9.754","0.452","4.689","0.525","24.898","25.949","8.183","148.456","127.814"
"85","PC","Misha Goikhberg","1","52:51.557","52:51.557","Green","Track","6.346","27.389","28.663","14.151","14.043","0.550","5.627","0.633","25.830","24.848","8.324","122.004","106.007"
"88","PC","Mark Kvamme","1","53:03.901","53:03.901","Green","Track","3136.360","29.633","28.359","10.667","9.555","0.445","4.720","0.574","25.213","25.652","8.759","150.792","116.903"
"20","PC","Matthew McMurry","1","53:05.267","53:05.267","Green","Track","7.008","26.318","25.643","9.703","9.378","0.442","4.521","0.443","23.617","24.408","8.131","151.815","151.472"
"26","PC","Don Yount","1","53:13.020","53:13.020","Green","Track","6.120","26.229","25.901","10.888","9.553","0.445","4.672","0.517","25.805","24.737","8.330","150.792","129.792"
"7","PC","Jose Gutierrez","2","2:03.517","54:26.428","Green","Track","1.416","19.735","23.384","9.294","9.351","0.444","4.546","0.409","22.875","23.853","8.210","151.131","164.064"
"8","PC","Alex Popow","2","2:03.866","54:27.352","Green","Track","1.406","19.729","23.539","9.342","9.338","0.444","4.531","0.419","22.947","23.897","8.274","151.131","160.149"
"38","PC","Nicholas Boulle","2","2:06.873","54:39.351","Green","Track","1.413","20.857","24.436","9.655","9.373","0.441","4.506","0.438","23.535","23.988","8.231","152.159","153.202"
"52","PC","Robert Alon","2","2:04.106","54:45.683","Green","Track","1.405","19.642","23.426","9.345","9.317","0.442","4.526","0.439","23.499","23.929","8.136","151.815","152.853"
"85","PC","Misha Goikhberg","2","2:05.871","54:57.428","Green","Track","1.418","20.190","23.726","9.763","9.386","0.446","4.558","0.436","23.234","24.491","8.223","150.454","153.904"
