"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"100","GTLM","John Edwards","73","1:28.439","1:53:21.087","Green","Track","1.740","0.494","4.231","26.793","20.152","14.968","8.854","11.207","134.339"
"10","P","Jordan Taylor","73","1:21.531","1:53:22.313","Green","Track","1.617","0.462","4.064","24.632","18.595","13.784","8.038","10.339","143.644"
"25","GTLM","Bill Auberlen","73","1:27.125","1:53:26.285","Green","Track","1.739","0.494","4.059","26.270","20.131","14.774","8.665","10.993","134.339"
"90","P","Marc Goossens","75","1:23.157","1:53:42.214","Green","Track","1.615","0.461","3.775","25.390","19.005","14.162","8.156","10.593","143.956"
"31","P","Eric Curran","75","1:23.275","1:53:43.372","Green","Track","1.608","0.463","3.858","24.958","18.826","14.643","8.358","10.561","143.334"
"5","P","Joao Barbosa","71","1:22.684","1:53:44.172","Green","Track","1.610","0.000","0.000","24.653","18.815","14.298","8.363","10.554","0.000"
"67","GTLM","Richard Westbrook","74","1:27.074","1:53:55.131","Green","Track","1.743","0.000","0.000","26.284","20.019","14.780","8.673","10.880","0.000"
"55","P","Jonathan Bomarito","75","1:25.190","1:54:08.660","Green","Track","1.610","0.463","4.113","25.864","19.327","14.652","8.476","10.685","143.334"
"3","GTLM","Antonio Garcia","74","1:27.823","1:54:11.370","Green","Track","1.753","0.000","0.000","26.538","20.204","14.710","8.876","10.979","0.000"
"68","GTLM","Alessandro Pier Guidi","74","1:26.816","1:54:12.095","Green","Track","1.732","0.000","0.000","26.508","19.823","14.736","8.593","10.900","0.000"
"0","P","Katherine Legge","75","1:22.308","1:54:25.396","Green","Track","1.569","0.000","0.000","24.831","19.060","14.204","8.164","10.301","0.000"
"66","GTLM","Joey Hand","74","1:49.326","1:54:25.778","Green","Pit","1.730","0.000","0.000","26.780","20.370","15.091","10.213","30.398","0.000"
"912","GTLM","Frederic Makowiecki","74","1:26.227","1:54:29.326","Green","Track","1.736","0.000","0.000","26.052","19.941","14.615","8.624","10.767","0.000"
"62","GTLM","Giancarlo Fisichella","74","1:27.429","1:54:34.502","Green","Track","1.736","0.496","4.022","26.344","20.132","14.929","8.735","11.035","133.798"
"60","P","Oswaldo Negri","76","1:23.046","1:54:36.844","Green","Track","1.614","0.000","0.000","25.081","18.734","14.590","8.209","10.492","0.000"
"10","P","Jordan Taylor","74","1:22.029","1:54:44.342","Green","Track","1.613","0.464","3.860","24.599","18.697","13.875","8.300","10.621","143.025"
"4","GTLM","Oliver Gavin","74","1:26.606","1:54:44.432","Green","Track","1.733","0.000","0.000","26.014","19.882","14.837","8.486","11.143","0.000"
"911","GTLM","Patrick Pilet","74","1:27.329","1:54:44.732","Green","Track","1.743","0.000","0.000","26.095","19.961","14.838","8.623","11.539","0.000"
"100","GTLM","John Edwards","74","1:28.193","1:54:49.280","Green","Track","1.750","0.497","4.128","26.840","20.046","14.966","8.759","11.207","133.528"
"25","GTLM","Bill Auberlen","74","1:27.000","1:54:53.285","Green","Track","1.743","0.495","4.025","26.273","19.946","14.776","8.611","11.131","134.068"
"90","P","Marc Goossens","76","1:22.885","1:55:05.099","Green","Track","1.621","0.466","3.805","24.990","18.972","14.305","8.225","10.501","142.411"
"31","P","Eric Curran","76","1:22.468","1:55:05.840","Green","Track","1.619","0.464","3.856","24.759","18.719","14.364","8.196","10.491","143.025"
"5","P","Joao Barbosa","72","1:23.683","1:55:07.855","Green","Track","1.652","0.000","0.000","25.220","19.010","14.551","8.210","10.443","0.000"
"67","GTLM","Richard Westbrook","75","1:27.177","1:55:22.308","Green","Track","1.745","0.000","0.000","26.141","20.158","14.840","8.709","10.844","0.000"
"55","P","Jonathan Bomarito","76","1:24.917","1:55:33.577","Green","Track","1.612","0.462","3.990","25.535","19.551","14.679","8.501","10.587","143.644"
"3","GTLM","Antonio Garcia","75","1:27.635","1:55:39.005","Green","Track","1.745","0.000","0.000","26.313","20.307","14.679","8.917","10.985","0.000"
