"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"85","PC","Misha Goikhberg","13","1:19.501","21:10.055","Green","Track","0.610","6.899","7.175","11.502","7.959","10.076","11.602","16.764","1.677","5.237","135.246"
"68","GTLM","Daniel Serra","13","1:19.705","21:11.628","Green","Track","0.633","7.116","7.208","11.141","8.016","10.198","12.046","16.200","1.714","5.433","130.332"
"4","GTLM","Oliver Gavin","12","1:18.363","21:14.495","Green","Track","0.641","7.143","7.037","10.808","7.869","10.054","11.776","15.915","1.676","5.444","128.705"
"25","GTLM","Bill Auberlen","12","1:24.146","21:16.574","Green","Track","0.629","7.024","7.979","12.672","9.283","10.915","11.972","16.493","1.710","5.469","131.161"
"912","GTLM","Earl Bamber","12","1:18.176","21:17.470","Green","Track","0.640","7.091","6.898","11.106","7.824","9.972","11.797","15.742","1.677","5.429","128.906"
"70","P","Tom Long","9","4:50.437","21:20.829","Green","Track","0.000","0.000","15.563","13.231","8.222","10.933","12.207","16.862","1.678","5.062","0.000"
"20","PC","Johnny Mowlem","12","1:20.341","21:22.582","Green","Track","0.611","6.894","7.570","11.406","7.921","10.323","11.901","16.824","1.680","5.211","135.025"
"62","GTLM","Giancarlo Fisichella","12","1:18.228","21:24.612","Green","Track","0.641","7.178","6.967","10.835","7.821","10.020","11.877","15.708","1.705","5.476","128.705"
"100","GTLM","Lucas Luhr","13","1:18.625","21:33.538","Green","Track","0.640","7.089","7.154","10.914","7.941","10.076","11.839","15.815","1.710","5.447","128.906"
"8","PC","Renger van der Zande","13","1:31.734","21:35.323","Green","Pit","0.616","6.900","7.156","11.086","8.005","10.182","11.738","16.891","3.766","15.394","133.929"
"5","P","Christian Fittipaldi","13","1:16.321","21:36.543","Green","Track","0.599","6.685","6.937","10.813","7.583","9.741","11.328","15.901","1.630","5.104","137.730"
"66","GTLM","Joey Hand","13","1:19.385","21:43.073","Green","Track","0.633","7.080","7.223","11.078","8.051","10.019","11.947","16.173","1.729","5.452","130.332"
"10","P","Ricky Taylor","12","1:16.092","21:46.744","Green","Track","0.594","6.689","6.960","10.762","7.637","9.768","11.274","15.734","1.599","5.075","138.889"
"31","P","Eric Curran","14","1:16.150","21:47.880","Green","Track","0.589","6.626","7.013","10.800","7.619","9.702","11.184","15.972","1.597","5.048","140.068"
