"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"70","P","Joel Miller","2","1:36.116","9:36.721","Green","Track","2.426","3.341","6.359","28.452","20.897","15.234","8.864","10.543","19.863"
"911","GTLM","Nick Tandy","3","1:24.826","10:09.625","Green","Track","1.747","0.498","4.068","25.386","19.473","14.415","8.659","10.580","133.260"
"5","P","Joao Barbosa","3","1:23.189","10:11.883","Green","Track","1.629","0.470","4.094","25.345","18.869","14.199","8.207","10.376","141.199"
"60","P","Oswaldo Negri","4","1:21.011","10:12.166","Green","Track","1.611","0.462","3.865","24.074","18.531","13.839","8.275","10.354","143.644"
"66","GTLM","Joey Hand","2","1:26.273","10:14.441","Green","Track","1.746","0.498","4.184","25.796","20.500","14.398","8.534","10.617","133.260"
"31","P","Eric Curran","4","1:23.104","10:16.593","Green","Track","1.619","0.461","3.893","24.787","19.118","14.496","8.369","10.361","143.956"
"100","GTLM","John Edwards","4","1:26.165","10:17.933","Green","Track","1.724","0.488","4.068","25.617","19.848","14.886","8.624","10.910","135.991"
"90","P","Marc Goossens","3","1:24.018","10:18.709","Green","Track","1.622","0.466","3.993","25.845","19.175","14.279","8.314","10.324","142.411"
"10","P","Jordan Taylor","4","1:26.048","10:19.953","Green","Track","1.623","0.472","4.230","25.545","19.203","15.015","9.228","10.732","140.601"
"4","GTLM","Oliver Gavin","4","1:24.462","10:22.321","Green","Track","1.745","0.496","4.067","25.272","19.478","14.163","8.411","10.830","133.798"
"0","P","Sean Rayhall","4","1:21.765","10:22.401","Green","Track","1.583","0.451","3.798","24.448","18.716","13.951","8.506","10.312","147.148"
"912","GTLM","Frederic Makowiecki","4","1:29.363","10:22.554","Green","Track","1.737","0.494","4.101","27.770","20.256","14.924","8.830","11.251","134.339"
"3","GTLM","Antonio Garcia","4","1:24.988","10:26.727","Green","Track","1.733","0.493","4.034","25.373","19.658","14.298","8.426","10.973","134.612"
"55","P","Tristan Nunez","2","2:21.429","10:27.375","Green","Pit","2.437","0.000","0.000","30.069","21.519","15.589","10.775","50.367","0.000"
"25","GTLM","Bill Auberlen","4","1:25.828","10:39.535","Green","Track","1.739","0.493","3.989","25.737","19.802","14.554","8.630","10.884","134.612"
"67","GTLM","Richard Westbrook","4","1:25.334","10:47.524","Green","Track","1.747","0.498","4.109","25.524","19.878","14.402","8.468","10.708","133.260"
"62","GTLM","Toni Vilander","4","1:24.583","10:48.365","Green","Track","1.750","0.498","4.082","25.454","19.572","14.192","8.366","10.669","133.260"
