"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"33","GTD","Jeroen Bleekemolen","118","55.648","2:00:57.204","Green","Track","0.473","0.842","10.748","11.134","14.144","5.776","9.723","2.808","146.670"
"23","GTD","Alex Riberas","118","56.041","2:00:57.846","Green","Track","0.478","0.852","10.768","11.221","14.549","5.678","9.675","2.820","145.136"
"6","GTD","Robin Liddell","118","55.873","2:00:58.139","Green","Track","0.474","0.843","10.531","11.211","14.441","5.771","9.774","2.828","146.361"
"48","GTD","Bryan Sellers","118","55.665","2:00:58.398","Green","Track","0.465","0.829","10.487","11.247","14.292","5.779","9.766","2.800","149.194"
"44","GTD","Andy Lally","118","55.625","2:00:58.564","Green","Track","0.470","0.836","10.433","11.315","14.518","5.621","9.607","2.825","147.606"
"62","GTLM","Giancarlo Fisichella","122","54.822","2:00:58.572","Green","Track","0.465","0.826","10.040","11.364","14.302","5.596","9.476","2.753","149.194"
"4","GTLM","Oliver Gavin","122","54.828","2:00:58.715","Green","Track","0.472","0.839","10.287","11.196","14.315","5.563","9.422","2.734","146.981"
"16","GTD","Spencer Pumpelly","118","55.860","2:00:59.476","Green","Track","0.470","0.836","10.830","11.197","14.521","5.666","9.562","2.778","147.606"
"67","GTLM","Ryan Briscoe","122","54.018","2:00:59.629","Green","Track","0.456","0.813","9.949","10.816","14.396","5.637","9.244","2.707","152.138"
"66","GTLM","Dirk Mueller","122","54.074","2:01:00.363","Green","Track","0.458","0.815","9.895","10.547","14.315","5.858","9.440","2.746","151.474"
"9","GTD","Lawson Aschenbach","118","55.974","2:01:00.917","Green","Track","0.472","0.842","10.192","10.943","14.583","6.118","10.022","2.802","146.981"
"3","GTLM","Antonio Garcia","122","54.338","2:01:00.985","Green","Track","0.455","0.814","10.025","10.497","14.139","5.767","9.862","2.779","152.473"
"73","GTD","Jorg Bergmeister","118","54.606","2:01:02.568","Green","Track","0.470","0.837","10.353","10.916","14.104","5.620","9.524","2.782","147.606"
"8","PC","Renger van der Zande","123","51.949","2:01:02.898","Green","Track","0.448","0.799","9.625","10.461","13.305","5.537","9.109","2.665","154.855"
"97","GTD","Markus Palttala","118","54.729","2:01:03.007","Green","Track","0.466","0.830","10.356","11.065","14.139","5.583","9.513","2.777","148.873"
"85","PC","Misha Goikhberg","87","54.025","2:01:03.176","Green","Track","0.442","0.789","9.818","10.986","14.100","5.694","9.549","2.647","156.957"
"911","GTLM","Nick Tandy","114","52.966","2:01:04.041","Green","Track","0.468","0.833","9.901","10.439","14.055","5.358","9.174","2.738","148.237"
"22","GTD","Leh Keen","118","55.102","2:01:06.052","Green","Track","0.471","0.842","10.661","11.066","14.160","5.629","9.483","2.790","147.293"
"96","GTD","Jens Klingmann","118","54.183","2:01:06.390","Green","Track","0.467","0.833","10.121","10.935","14.184","5.488","9.389","2.766","148.555"
"52","PC","Tom Kimber-Smith","123","51.530","2:01:06.366","Green","Track","0.450","0.804","9.571","10.249","13.388","5.273","9.133","2.662","154.167"
"63","GTD","Alessandro Balzan","117","54.220","2:01:09.673","Green","Track","0.473","0.843","10.188","10.987","14.023","5.555","9.372","2.779","146.670"
"27","GTD","Cedric Sbirrazzuoli","116","56.044","2:01:22.532","Green","Track","0.469","0.835","10.530","11.258","14.473","5.880","9.785","2.814","147.921"
"88","PC","Remo Ruscitti","121","53.393","2:01:25.851","Green","Track","0.452","0.805","10.285","11.005","13.823","5.385","8.995","2.643","153.485"
"20","PC","Johnny Mowlem","123","50.550","2:01:41.073","Green","Track","0.445","0.794","9.652","10.363","13.059","5.085","8.535","2.617","155.899"
"38","PC","Kyle Marcelli","123","49.973","2:01:42.775","Green","Track","0.451","0.804","9.557","9.973","13.068","5.033","8.486","2.601","153.825"
