"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"25","GTLM","Bill Auberlen","24","1:21.644","32:40.743","Green","Track","0.637","7.080","6.992","11.213","8.256","10.768","12.125","17.316","1.748","5.509","129.513"
"90","P","Marc Goossens","25","1:18.943","32:42.927","Green","Track","0.597","6.693","7.094","11.026","7.873","10.156","11.558","17.121","1.690","5.135","138.191"
"60","P","John Pew","25","1:18.280","32:43.587","Green","Track","0.592","6.685","7.093","10.949","7.835","10.096","11.594","16.644","1.665","5.127","139.358"
"3","GTLM","Jan Magnussen","24","1:20.166","32:48.653","Green","Track","0.640","7.099","7.407","11.235","8.017","10.323","11.914","16.291","1.740","5.500","128.906"
"66","GTLM","Dirk Muller","21","1:19.786","32:50.305","Green","Track","0.635","7.038","7.181","11.066","8.092","10.095","11.998","16.523","1.712","5.446","129.921"
"62","GTLM","Giancarlo Fisichella","24","1:19.668","32:58.998","Green","Track","0.643","7.230","7.060","10.989","7.967","10.239","12.076","16.238","1.713","5.513","128.305"
"68","GTLM","Daniel Serra","23","1:20.241","33:05.771","Green","Track","0.639","7.135","7.245","11.090","8.041","10.235","12.050","16.603","1.733","5.470","129.108"
"67","GTLM","Richard Westbrook","24","1:20.451","33:06.858","Green","Track","0.633","7.045","7.329","11.369","8.095","10.350","11.980","16.501","1.716","5.433","130.332"
"85","PC","Misha Goikhberg","25","1:18.805","33:08.079","Green","Track","0.607","6.842","7.325","11.076","7.882","10.057","11.532","16.592","1.666","5.226","135.914"
"100","GTLM","Lucas Luhr","23","1:19.423","33:10.907","Green","Track","0.647","7.126","7.039","10.967","8.051","10.172","12.117","16.029","1.755","5.520","127.512"
"8","PC","Alex Popow","25","1:19.018","33:11.711","Green","Track","0.610","6.833","7.090","11.023","7.936","10.228","11.830","16.542","1.686","5.240","135.246"
"38","PC","James French","25","1:19.287","33:13.620","Green","Track","0.603","6.788","7.290","11.343","7.793","10.325","11.755","16.617","1.629","5.144","136.816"
"88","PC","Mark Kvamme","24","1:21.040","33:26.861","Green","Track","0.628","6.995","7.496","11.296","8.015","10.360","12.017","17.111","1.744","5.378","131.369"
"10","P","Ricky Taylor","26","1:17.643","33:26.890","Green","Track","0.596","6.694","6.940","10.936","7.814","9.936","11.730","16.336","1.595","5.066","138.423"
"52","PC","Robert Alon","25","1:20.396","33:28.172","Green","Track","0.611","6.810","7.333","11.176","8.014","10.538","12.259","16.773","1.659","5.223","135.025"
"5","P","Christian Fittipaldi","26","1:16.884","33:30.505","Green","Track","0.605","6.733","6.982","10.877","7.740","9.927","11.349","15.942","1.654","5.075","136.364"
"31","P","Eric Curran","26","1:17.868","33:43.556","Green","Track","0.592","6.674","7.098","10.950","7.589","9.799","11.602","16.865","1.627","5.072","139.358"
"70","P","Tom Long","26","1:17.505","33:44.237","Green","Track","0.590","6.637","7.181","10.984","7.742","9.799","11.410","16.495","1.649","5.018","139.831"
"55","P","Tristan Nunez","26","1:16.649","33:45.692","Green","Track","0.587","6.700","6.863","10.810","7.648","9.731","11.328","16.332","1.631","5.019","140.545"
"4","GTLM","Oliver Gavin","24","1:21.350","33:50.364","Green","Track","0.653","7.404","7.599","11.236","8.179","10.344","12.131","16.561","1.727","5.516","126.340"
"912","GTLM","Earl Bamber","25","1:18.869","33:53.802","Green","Track","0.642","7.104","6.995","10.877","7.900","10.118","11.909","16.147","1.709","5.468","128.505"
"911","GTLM","Patrick Pilet","25","1:18.622","33:54.225","Green","Track","0.640","7.098","7.083","10.908","7.868","10.006","11.928","15.948","1.693","5.450","128.906"
"54","PC","Jonathan Bennett","24","2:39.958","33:57.896","Green","Pit","0.608","6.817","7.494","11.876","8.215","10.551","12.048","81.911","4.806","15.632","135.691"
"20","PC","Tomy Drissi","25","1:21.727","34:00.633","Green","Track","0.611","6.865","7.823","11.915","8.285","10.446","11.773","17.027","1.729","5.253","135.025"
"25","GTLM","Bill Auberlen","25","1:20.433","34:01.176","Green","Track","0.635","7.065","7.321","11.097","8.061","10.405","12.015","16.533","1.730","5.571","129.921"
"90","P","Marc Goossens","26","1:19.203","34:02.130","Green","Track","0.601","6.659","7.214","11.287","7.958","10.122","11.488","17.090","1.676","5.108","137.271"
"0","P","Andy Meyrick","19","3:53.879","34:03.275","Green","Track","155.844","6.645","7.106","11.232","8.033","10.251","11.649","16.465","1.595","5.059","0.529"
"3","GTLM","Jan Magnussen","25","1:20.273","34:08.926","Green","Track","0.640","7.128","7.419","11.183","7.993","10.377","12.072","16.250","1.733","5.478","128.906"
"66","GTLM","Dirk Muller","22","1:19.043","34:09.348","Green","Track","0.638","7.055","7.285","10.974","7.877","10.124","11.868","16.089","1.701","5.432","129.310"
"62","GTLM","Giancarlo Fisichella","25","1:19.553","34:18.551","Green","Track","0.643","7.224","7.098","11.028","7.975","10.138","12.065","16.077","1.762","5.543","128.305"
"68","GTLM","Daniel Serra","24","1:19.990","34:25.761","Green","Track","0.637","7.119","7.219","11.131","8.034","10.230","12.100","16.335","1.721","5.464","129.513"
