"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"90","P","Marc Goossens","25","1:38.474","57:00.866","Green","Track","3.054","8.088","11.439","3.599","0.465","12.673","20.306","30.227","5.448","3.175","176.686"
"68","GTLM","Daniel Serra","27","1:47.702","57:02.221","Green","Track","3.281","8.470","12.217","3.853","0.496","13.322","21.433","34.830","6.348","3.452","165.643"
"96","GTD","Bret Curtis","22","1:47.619","57:03.542","Green","Track","3.292","9.089","12.357","3.851","0.497","14.336","22.007","32.801","5.986","3.403","165.310"
"63","GTD","Christina Nielsen","22","1:46.354","57:04.888","Green","Track","3.323","8.851","12.389","3.878","0.501","13.843","21.978","32.258","5.906","3.427","163.990"
"60","P","Oswaldo Negri Jr.","26","1:35.997","57:06.149","Green","Track","3.045","7.922","11.303","3.601","0.466","12.522","19.585","29.348","5.119","3.086","176.307"
"100","GTLM","John Edwards","22","1:57.126","57:10.408","Green","Track","14.368","9.040","12.305","3.825","0.494","14.365","22.392","31.251","5.731","3.355","166.314"
"50","P","Jim Pace","25","4:19.108","57:14.182","Green","Pit","3.254","8.603","11.624","3.672","0.486","14.008","21.230","32.540","8.306","155.385","169.052"
"0","P","Katherine Legge","22","1:39.058","57:17.954","Green","Track","3.041","8.271","11.405","3.589","0.463","12.930","20.790","30.103","5.336","3.130","177.449"
"33","GTD","Ben Keating","22","1:47.326","57:33.680","Green","Track","3.257","8.867","12.359","3.807","0.488","14.350","21.999","32.445","6.271","3.483","168.359"
"85","PC","Stephen Simpson","25","1:42.255","57:38.648","Green","Track","3.155","8.329","11.738","3.715","0.480","14.164","21.664","30.414","5.375","3.221","171.165"
"9","GTD","Matt Bell","26","1:45.609","57:40.710","Green","Track","3.262","8.670","12.295","3.818","0.490","14.195","21.697","31.958","5.796","3.428","167.672"
"48","GTD","Madison Snow","26","3:51.930","57:46.497","Green","Pit","3.277","8.760","12.199","3.788","0.487","15.131","21.874","32.481","7.300","126.633","168.704"
"5","P","Christian Fittipaldi","26","1:37.760","57:52.996","Green","Track","3.034","8.074","11.851","3.637","0.466","12.726","20.209","29.353","5.273","3.137","176.307"
"6","GTD","Andrew Davis","24","1:58.439","57:53.017","Green","Track","14.505","9.772","12.657","3.872","0.497","14.153","21.541","32.020","5.960","3.462","165.310"
"73","GTD","Matthew McMurry","24","1:46.327","57:57.321","Green","Track","3.291","8.778","12.293","3.831","0.492","14.242","21.973","32.057","5.926","3.444","166.990"
"16","GTD","Corey Lewis","23","2:35.158","57:57.788","Green","Pit","14.997","10.077","13.482","4.147","0.546","15.157","22.257","32.497","6.939","35.059","150.475"
"97","GTD","Markus Palttala","27","1:46.058","58:01.412","Green","Track","3.265","8.822","12.197","3.810","0.491","13.934","22.061","32.241","5.850","3.387","167.330"
"540","GTD","Nicky Catsburg","27","1:50.807","58:04.669","Green","Track","3.302","8.725","12.375","3.881","0.498","13.926","25.481","33.244","5.929","3.446","164.978"
"31","P","Filipe Albuquerque","28","2:38.652","58:07.223","Green","Track","58.753","9.553","12.716","3.628","0.464","13.822","20.730","30.312","5.517","3.157","177.067"
"4","GTLM","Tommy Milner","26","1:43.514","58:11.365","Green","Track","3.232","8.599","12.273","3.836","0.493","13.398","21.392","31.333","5.581","3.377","166.651"
"44","GTD","John Potter","27","1:48.365","58:13.142","Green","Track","3.285","8.705","12.637","3.882","0.498","14.757","22.209","33.139","5.835","3.418","164.978"
"62","GTLM","Giancarlo Fisichella","26","1:42.813","58:14.395","Green","Track","3.219","8.709","12.222","3.822","0.492","13.303","21.008","31.188","5.532","3.318","166.990"
"3","GTLM","Antonio Garcia","26","1:42.919","58:16.094","Green","Track","3.222","8.472","12.123","3.802","0.490","13.422","21.041","30.996","5.965","3.386","167.672"
"8","PC","Alex Popow","26","1:40.815","58:17.923","Green","Track","3.114","8.244","11.682","3.680","0.475","13.529","21.231","30.272","5.380","3.208","172.967"
"52","PC","Robert Alon","28","1:41.595","58:19.272","Green","Track","3.099","8.218","11.597","3.673","0.475","13.399","21.559","31.093","5.308","3.174","172.967"
"10","P","Jordan Taylor","25","1:38.181","58:19.580","Green","Track","3.027","8.013","11.360","3.590","0.464","12.350","19.948","30.852","5.441","3.136","177.067"
"54","PC","Mark Wilkins","24","1:37.956","58:21.464","Green","Track","3.108","8.069","11.639","3.710","0.480","12.739","19.976","29.625","5.422","3.188","171.165"
"25","GTLM","Dirk Werner","24","1:45.369","58:21.509","Green","Track","3.197","8.467","11.945","3.774","0.488","13.429","22.096","32.905","5.756","3.312","168.359"
"2","P","Luis Felipe Derani","25","1:36.786","58:21.908","Green","Track","3.062","7.984","11.362","3.617","0.467","12.532","19.582","29.623","5.405","3.152","175.930"
"23","GTD","Mario Farnbacher","24","2:01.272","58:28.968","Green","Pit","3.296","9.319","12.391","3.841","0.492","14.082","21.965","33.157","6.938","15.791","166.990"
"66","GTLM","Joey Hand","22","1:44.479","58:30.836","Green","Track","3.298","8.823","12.223","3.806","0.491","14.217","21.452","31.087","5.721","3.361","167.330"
"67","GTLM","Richard Westbrook","20","1:44.383","58:33.742","Green","Track","3.235","8.495","12.144","3.789","0.489","14.292","21.523","31.391","5.674","3.351","168.015"
"911","GTLM","Nick Tandy","25","1:45.588","58:35.769","Green","Track","3.240","8.532","12.118","3.783","0.487","14.586","21.915","31.887","5.688","3.352","168.704"
"90","P","Marc Goossens","26","1:37.668","58:38.534","Green","Track","3.068","8.045","11.457","3.600","0.466","12.698","20.339","29.584","5.272","3.139","176.307"
"88","PC","Mark Kvamme","27","1:46.210","58:41.733","Green","Track","3.213","8.682","12.439","3.806","0.488","14.436","21.922","32.095","5.851","3.278","168.359"
"60","P","Oswaldo Negri Jr.","27","1:38.081","58:44.230","Green","Track","3.015","8.043","11.317","3.556","0.459","12.670","20.105","30.682","5.130","3.104","178.996"
"68","GTLM","Daniel Serra","28","1:44.328","58:46.549","Green","Track","3.307","8.468","12.235","3.845","0.496","13.274","21.200","32.366","5.766","3.371","165.643"
"22","GTD","Cooper MacNeil","25","2:02.644","58:51.148","Green","Pit","3.316","8.931","12.368","3.836","0.494","15.072","22.746","32.892","7.164","15.825","166.314"
"96","GTD","Bret Curtis","23","1:48.132","58:51.674","Green","Track","3.281","8.902","12.389","3.852","0.495","14.802","22.115","32.929","5.966","3.401","165.978"
"100","GTLM","John Edwards","23","1:45.313","58:55.721","Green","Track","3.252","8.832","13.769","3.948","0.514","14.004","20.896","30.999","5.742","3.357","159.843"
"38","PC","James French","27","1:56.978","58:57.224","Green","Track","14.699","10.620","12.574","3.917","0.627","15.113","20.992","30.020","5.239","3.177","131.035"
"0","P","Katherine Legge","23","1:42.255","59:00.209","Green","Track","3.016","8.157","11.400","3.601","0.465","14.695","22.291","30.195","5.322","3.113","176.686"
"63","GTD","Christina Nielsen","23","2:01.676","59:06.564","Green","Pit","3.336","9.227","13.059","3.915","0.502","14.419","22.117","32.517","10.282","12.302","163.664"
"50","P","Dorsey Schroeder","26","2:01.538","59:15.720","Green","Track","15.153","10.636","13.388","3.842","0.511","14.458","22.585","31.517","6.082","3.366","160.781"
"85","PC","Stephen Simpson","26","1:39.248","59:17.896","Green","Track","3.155","8.229","11.741","3.740","0.483","12.796","20.364","30.148","5.357","3.235","170.102"
"70","P","Ben Devlin","26","3:06.082","59:20.599","Green","Pit","57.039","10.287","15.363","4.287","0.665","16.294","23.731","34.047","8.125","16.244","123.548"
"33","GTD","Ben Keating","23","1:47.176","59:20.856","Green","Track","3.308","8.894","12.317","3.805","0.489","14.210","22.277","32.305","6.118","3.453","168.015"
"55","P","Spencer Pigot","27","2:51.920","59:20.949","Green","Pit","45.470","10.938","13.607","3.940","0.595","16.345","22.982","33.855","8.218","15.970","138.083"
"9","GTD","Matt Bell","27","1:45.434","59:26.144","Green","Track","3.280","8.711","12.296","3.816","0.489","14.058","21.751","31.859","5.758","3.416","168.015"
"5","P","Christian Fittipaldi","27","1:36.284","59:29.280","Green","Track","3.045","8.035","11.372","3.569","0.460","12.453","19.909","29.126","5.200","3.115","178.607"
"6","GTD","Andrew Davis","25","1:45.494","59:38.511","Green","Track","3.304","8.673","12.328","3.827","0.492","13.949","21.752","31.806","5.917","3.446","166.990"
"73","GTD","Matthew McMurry","25","1:46.794","59:44.115","Green","Track","3.303","8.859","12.305","3.833","0.494","14.190","21.886","32.678","5.820","3.426","166.314"
