"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"912","GTLM","Frederic Makowiecki","6","1:42.623","34:27.232","Green","Track","20.993","15.431","12.305","14.925","11.044","0.508","21.808","5.388","0.221","161.059"
"100","GTLM","John Edwards","6","1:42.416","34:32.889","Green","Track","21.060","15.340","12.227","14.834","11.030","0.508","21.851","5.346","0.220","161.059"
"25","GTLM","Dirk Werner","6","1:42.255","34:43.192","Green","Track","21.035","15.349","12.267","14.909","10.997","0.506","21.656","5.318","0.218","161.696"
"911","GTLM","Nick Tandy","6","1:42.357","35:03.504","Green","Track","21.009","15.243","12.255","14.946","11.070","0.508","21.744","5.362","0.220","161.059"
"67","GTLM","Richard Westbrook","6","1:42.532","35:24.022","Green","Track","20.875","15.192","12.326","14.983","11.062","0.508","21.951","5.414","0.221","161.059"
"4","GTLM","Tommy Milner","7","1:41.781","35:36.859","Green","Track","20.918","15.301","12.121","14.749","10.981","0.502","21.682","5.309","0.218","162.984"
"3","GTLM","Jan Magnussen","7","1:41.557","35:39.829","Green","Track","20.890","15.173","12.121","14.825","10.896","0.499","21.643","5.293","0.217","163.964"
"62","GTLM","Giancarlo Fisichella","7","1:42.320","35:46.767","Green","Track","21.047","15.068","12.266","14.870","11.062","0.509","21.911","5.368","0.219","160.743"
"66","GTLM","Joey Hand","7","1:41.817","35:56.811","Green","Track","20.939","15.309","12.253","14.726","11.056","0.506","21.477","5.334","0.217","161.696"
"912","GTLM","Frederic Makowiecki","7","1:42.449","36:09.681","Green","Track","20.990","15.361","12.306","14.926","11.049","0.508","21.729","5.360","0.220","161.059"
"100","GTLM","John Edwards","7","1:42.339","36:15.228","Green","Track","20.936","15.246","12.243","14.887","11.046","0.508","21.847","5.404","0.222","161.059"
"25","GTLM","Dirk Werner","7","1:44.239","36:27.431","Green","Track","20.998","15.248","12.292","14.888","10.980","0.506","23.751","5.356","0.220","161.696"
"911","GTLM","Nick Tandy","7","1:42.276","36:45.780","Green","Track","20.862","15.249","12.257","14.956","11.055","0.508","21.799","5.371","0.219","161.059"
"67","GTLM","Richard Westbrook","7","1:53.956","37:17.978","Green","Track","22.528","16.743","14.955","17.087","11.666","0.618","24.786","5.355","0.218","132.392"
"3","GTLM","Jan Magnussen","8","1:41.685","37:21.514","Green","Track","20.937","15.233","12.119","14.762","10.920","0.502","21.691","5.303","0.218","162.984"
"62","GTLM","Giancarlo Fisichella","8","1:42.228","37:28.995","Green","Track","21.032","15.164","12.213","14.871","11.010","0.506","21.847","5.366","0.219","161.696"
"66","GTLM","Joey Hand","8","1:41.877","37:38.688","Green","Track","20.968","15.236","12.236","14.806","11.067","0.505","21.494","5.345","0.220","162.016"
"912","GTLM","Frederic Makowiecki","8","1:46.552","37:56.233","Green","Track","22.282","16.109","13.228","15.189","11.040","0.509","22.598","5.377","0.220","160.743"
"911","GTLM","Nick Tandy","8","1:44.929","38:30.709","Green","Track","22.534","15.978","12.416","14.797","11.035","0.508","22.079","5.362","0.220","161.059"
"3","GTLM","Jan Magnussen","9","1:42.205","39:03.719","Green","Track","20.843","15.251","12.075","14.915","10.935","0.499","22.147","5.322","0.218","163.964"
"62","GTLM","Giancarlo Fisichella","9","1:45.436","39:14.431","Green","Track","21.032","15.237","12.399","15.858","11.239","0.514","23.568","5.370","0.219","159.179"
"912","GTLM","Frederic Makowiecki","9","1:42.531","39:38.764","Green","Track","21.045","15.262","12.262","14.834","11.046","0.508","21.958","5.395","0.221","161.059"
"62","GTLM","Giancarlo Fisichella","10","1:42.225","40:56.656","Finish","Track","20.966","15.270","12.272","14.848","11.029","0.508","21.768","5.344","0.220","161.059"
"912","GTLM","Frederic Makowiecki","10","1:42.372","41:21.136","Finish","Track","20.926","15.362","12.281","14.833","11.024","0.508","21.843","5.374","0.221","161.059"
