"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"6","GTD","Andrew Davis","3","1:28.448","5:32.235","Green","Track","1.766","0.504","4.083","26.726","20.702","14.824","8.720","11.123","131.674"
"27","GTD","Cedric Sbirrazzuoli","3","1:27.680","5:34.778","Green","Track","1.759","0.503","4.040","26.592","20.409","14.673","8.813","10.891","131.936"
"540","GTD","Timothy Pappas","3","1:28.965","5:42.818","Green","Track","1.752","0.501","4.249","26.598","20.517","15.472","9.009","10.867","132.462"
"54","PC","Jonathan Bennett","3","1:24.263","6:00.472","Green","Track","1.639","0.468","3.979","25.368","19.591","14.530","8.419","10.269","141.803"
"73","GTD","Jorg Bergmeister","3","1:25.917","6:04.175","Green","Track","1.740","0.494","3.992","25.965","19.865","14.449","8.645","10.767","134.339"
"8","PC","Renger Van DerZande","3","1:22.160","6:06.153","Green","Track","1.639","0.467","4.080","24.713","18.699","13.792","8.359","10.411","142.106"
"38","PC","Kyle Marcelli","3","1:22.828","6:07.375","Green","Track","1.628","0.469","3.994","24.931","18.878","14.074","8.418","10.436","141.500"
"88","PC","Ashley Freiberg","3","1:23.765","6:10.279","Green","Track","1.635","0.468","4.034","25.154","19.334","14.386","8.402","10.352","141.803"
"96","GTD","Jens Klingmann","4","1:25.802","6:16.395","Green","Track","1.723","0.494","3.943","25.867","19.872","14.509","8.562","10.832","134.339"
"97","GTD","Markus Palttala","3","1:28.188","6:17.179","Green","Track","1.729","0.495","3.935","26.561","20.325","15.289","8.844","11.010","134.068"
"16","GTD","Spencer Pumpelly","4","1:27.430","6:19.990","Green","Track","1.744","0.497","4.072","26.484","20.199","14.640","8.837","10.957","133.528"
"52","PC","Tom Kimber-Smith","4","1:23.263","6:26.051","Green","Track","1.651","0.471","4.080","25.193","19.107","14.051","8.445","10.265","140.899"
"11","GTD","Townsend Bell","4","1:28.855","6:27.355","Green","Track","1.748","0.502","4.051","26.521","20.804","14.807","9.139","11.283","132.198"
"20","PC","Matthew McMurry","2","1:43.911","6:31.091","Green","Track","5.347","1.078","6.936","30.012","23.129","16.125","9.717","11.567","61.562"
"9","GTD","Lawson Aschenbach","3","1:37.759","6:31.731","Green","Track","2.422","0.000","0.000","28.508","21.466","15.459","9.129","11.007","0.000"
"85","PC","Misha Goikhberg","4","1:24.940","6:37.258","Green","Track","1.651","0.471","4.018","25.159","20.288","14.354","8.383","10.616","140.899"
"007","GTD","Brandon Davis","4","1:29.862","6:39.671","Green","Track","1.725","0.491","4.155","26.913","21.272","15.142","9.067","11.097","135.160"
"44","GTD","John Potter","4","1:28.171","6:43.037","Green","Track","1.774","0.503","4.134","26.546","20.431","14.899","8.917","10.967","131.936"
"23","GTD","Mario Farnbacher","4","1:26.951","6:46.168","Green","Track","1.746","0.499","4.070","26.164","20.065","14.758","8.664","10.985","132.993"
"22","GTD","Leh Keen","4","1:28.237","6:51.588","Green","Track","1.742","0.497","4.145","26.350","20.561","15.106","8.813","11.023","133.528"
"80","GTD","Mike Skeen","4","1:27.473","6:53.184","Green","Track","1.719","0.491","3.957","26.449","20.139","14.972","8.770","10.976","135.160"
"48","GTD","Madison Snow","4","1:27.544","6:55.165","Green","Track","1.757","0.499","4.066","26.436","20.228","14.829","8.832","10.897","132.993"
"6","GTD","Andrew Davis","4","1:28.006","7:00.241","Green","Track","1.772","0.500","3.985","26.643","20.511","14.787","8.778","11.030","132.727"
"27","GTD","Cedric Sbirrazzuoli","4","1:27.726","7:02.504","Green","Track","1.752","0.504","4.026","26.365","20.646","14.667","8.851","10.915","131.674"
"540","GTD","Timothy Pappas","4","1:28.069","7:10.887","Green","Track","1.747","0.499","4.134","26.239","20.512","15.024","8.889","11.025","132.993"
"54","PC","Jonathan Bennett","4","1:21.983","7:22.455","Green","Track","1.630","0.470","3.854","24.703","18.927","13.890","8.255","10.254","141.199"
"63","GTD","Alessandro Balzan","4","2:08.281","7:25.112","Green","Pit","1.727","0.492","4.001","26.501","22.817","15.632","11.646","45.465","134.885"
"8","PC","Renger Van DerZande","4","1:23.117","7:29.270","Green","Track","1.642","0.467","3.966","24.431","19.095","14.245","8.845","10.426","142.106"
"38","PC","Kyle Marcelli","4","1:22.671","7:30.046","Green","Track","1.635","0.470","3.917","24.624","18.991","14.060","8.496","10.478","141.199"
"73","GTD","Jorg Bergmeister","4","1:30.959","7:35.134","Green","Track","1.739","0.493","4.003","25.974","21.690","17.548","8.700","10.812","134.612"
