"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"10","P","Ricky Taylor","4","2:07.966","1:26:40.018","Green","Track","14.570","29.153","26.551","8.256","6.391","6.321","14.235","7.589","6.271","5.170","0.468","2.991","174.825"
"31","P","Dane Cameron","4","2:12.175","1:26:54.514","Green","Track","14.493","30.328","27.179","7.952","7.014","7.997","14.706","7.564","6.261","5.201","0.472","3.008","173.344"
"90","P","Ryan Dalziel","4","2:12.105","1:26:57.761","Green","Track","14.665","30.777","26.599","8.367","6.323","7.289","15.376","7.638","6.303","5.242","0.479","3.047","170.810"
"50","P","Dorsey Schroeder","4","2:13.116","1:27:06.940","Green","Track","14.972","31.021","27.360","8.468","6.558","7.006","14.349","8.059","6.390","5.318","0.483","3.132","169.396"
"01","P","Alex Wurz","4","2:08.639","1:27:10.879","Green","Track","14.510","30.274","26.744","8.284","6.216","6.246","14.061","7.596","6.163","5.110","0.465","2.970","175.953"
"70","P","Tom Long","4","2:13.380","1:27:29.104","Green","Track","14.646","32.831","28.491","8.277","6.102","6.128","15.090","7.435","6.033","5.001","0.454","2.892","180.216"
"55","P","Tristan Nunez","4","2:17.194","1:27:50.430","Green","Track","14.789","32.019","28.445","8.102","6.059","0.000","0.000","7.236","6.037","5.006","0.453","2.893","180.614"
"5","P","Joao Barbosa","4","3:09.720","1:27:50.638","Green","Pit","15.018","30.124","27.163","8.169","7.766","9.642","16.160","9.544","8.150","13.294","0.000","0.000","0.000"
"37","P","Mikhail Aleshin","5","2:05.793","1:28:10.145","Green","Track","14.295","29.063","26.541","8.085","6.144","6.049","13.601","7.356","6.093","5.116","0.467","2.983","175.200"
"60","P","Oswaldo Negri","5","2:13.824","1:28:26.687","Green","Track","14.368","29.805","26.572","8.079","6.097","5.911","21.136","7.361","6.070","5.033","0.461","2.931","177.480"
"2","P","Luis Felipe Derani","5","2:10.186","1:28:31.643","Green","Track","16.495","29.797","26.636","7.982","6.131","6.602","14.590","7.387","6.083","5.078","0.465","2.940","175.953"
"02","P","Scott Dixon","5","2:10.094","1:28:46.646","Green","Track","13.747","30.644","27.975","8.228","6.271","6.304","14.520","7.618","6.260","5.102","0.461","2.964","177.480"
