"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"20","PC","Tomy Drissi","4","1:22.046","26:21.658","Green","Track","0.610","6.879","7.954","11.916","8.207","10.226","11.976","17.312","1.728","5.238","135.246"
"8","PC","Alex Popow","4","1:20.281","26:22.163","Green","Track","0.612","6.931","7.301","11.348","8.022","10.303","11.889","16.936","1.681","5.258","134.804"
"38","PC","James French","4","1:18.420","26:51.546","Green","Track","0.605","6.827","7.044","11.041","7.793","10.236","11.714","16.382","1.632","5.146","136.364"
"54","PC","Jonathan Bennett","4","1:19.613","26:55.517","Green","Track","0.614","6.880","7.321","11.268","7.873","10.215","11.711","16.773","1.703","5.255","134.365"
"85","PC","Misha Goikhberg","5","1:19.154","27:10.707","Green","Track","0.612","6.916","7.362","11.238","7.785","10.193","11.578","16.583","1.665","5.222","134.804"
"88","PC","Mark Kvamme","4","1:22.437","27:20.828","Green","Track","0.616","6.934","7.551","11.949","8.259","10.649","12.279","17.029","1.818","5.353","133.929"
"52","PC","Robert Alon","5","1:18.906","27:21.352","Green","Track","0.606","6.809","7.179","11.136","8.053","10.088","11.780","16.408","1.655","5.192","136.139"
"20","PC","Tomy Drissi","5","1:21.633","27:43.291","Green","Track","0.608","6.847","7.814","12.037","8.184","10.420","11.935","16.920","1.673","5.195","135.691"
"8","PC","Alex Popow","5","1:25.213","27:47.376","Green","Track","0.614","6.900","7.644","12.084","8.256","10.334","11.947","20.525","1.673","5.236","134.365"
"38","PC","James French","5","1:17.910","28:09.456","Green","Track","0.601","6.811","7.064","10.938","7.656","10.140","11.546","16.372","1.621","5.161","137.271"
"54","PC","Jonathan Bennett","5","1:18.623","28:14.140","Green","Track","0.610","6.836","7.190","11.117","7.786","10.050","11.606","16.517","1.688","5.223","135.246"
"85","PC","Misha Goikhberg","5","1:35.418","27:10.707","Red","Track","0.612","6.894","7.268","11.146","7.723","10.089","11.521","16.553","4.140","0.000","134.804"
"52","PC","Robert Alon","5","1:39.945","27:21.352","Red","Pit","0.604","6.770","9.765","12.854","8.246","10.135","11.672","18.428","5.156","16.315","136.589"
"20","PC","Tomy Drissi","5","1:42.023","27:43.291","Red","Pit","0.607","6.845","8.659","12.734","8.490","11.517","13.268","19.896","4.615","15.392","135.914"
"8","PC","Alex Popow","5","1:44.858","27:47.376","Red","Track","0.613","6.950","7.779","11.669","8.265","12.190","15.160","21.811","4.659","0.000","134.584"
"38","PC","James French","5","1:47.005","28:09.456","Red","Track","0.603","6.872","9.252","14.570","9.134","13.377","13.160","19.081","4.749","0.000","136.816"
"54","PC","Jonathan Bennett","5","1:43.266","28:14.140","Red","Track","0.608","6.830","8.204","12.462","8.413","12.895","13.362","19.503","4.996","0.000","135.691"
"5","P","Christian Fittipaldi","1","41:34.649","41:34.649","Green","Track","0.000","0.000","14.360","13.410","8.895","11.522","12.751","18.234","1.663","5.101","0.000"
"31","P","Eric Curran","1","41:37.202","41:37.202","Green","Track","0.000","0.000","14.611","14.049","8.998","11.954","12.445","18.344","1.614","5.064","0.000"
"10","P","Ricky Taylor","1","41:37.625","41:37.625","Green","Track","0.000","0.000","15.207","12.896","8.349","10.852","11.852","17.262","1.592","5.056","0.000"
"90","P","Marc Goossens","1","41:47.645","41:47.645","Green","Track","0.000","0.000","16.302","13.956","9.184","11.879","12.863","18.578","1.707","5.155","0.000"
"55","P","Tristan Nunez","1","41:55.441","41:55.441","Green","Track","0.000","0.000","16.049","16.498","10.894","13.205","12.905","19.158","1.836","5.164","0.000"
"70","P","Tom Long","1","41:56.979","41:56.979","Green","Track","0.000","0.000","15.466","16.073","10.630","13.260","13.138","19.803","1.783","5.104","0.000"
"60","P","John Pew","1","42:05.699","42:05.699","Green","Track","0.000","0.000","16.197","14.662","9.579","12.117","13.340","19.450","1.835","6.170","0.000"
"0","P","Andy Meyrick","1","42:27.708","42:27.708","Green","Track","0.000","0.000","15.957","14.310","9.954","15.627","13.337","18.512","1.618","5.020","0.000"
"5","P","Christian Fittipaldi","2","1:19.237","42:53.886","Green","Track","0.600","6.733","7.913","11.518","7.829","10.196","11.550","16.172","1.632","5.094","137.500"
"10","P","Ricky Taylor","2","1:22.769","43:00.394","Green","Track","0.595","6.690","7.285","11.459","7.837","10.783","11.983","19.454","1.616","5.067","138.655"
"31","P","Eric Curran","2","1:23.982","43:01.184","Green","Track","0.593","6.784","8.593","11.751","7.961","10.665","11.719","19.324","1.576","5.016","139.123"
"90","P","Marc Goossens","2","1:19.765","43:07.410","Green","Track","0.598","6.709","7.629","11.556","7.849","10.546","11.607","16.585","1.618","5.068","137.960"
"55","P","Tristan Nunez","2","1:21.260","43:16.701","Green","Track","0.595","6.715","8.030","11.919","8.019","10.598","11.700","16.947","1.693","5.044","138.655"
"70","P","Tom Long","2","1:21.511","43:18.490","Green","Track","0.593","6.661","7.889","11.786","7.813","10.486","11.607","18.037","1.643","4.996","139.123"
"60","P","John Pew","2","1:41.801","43:47.500","Green","Pit","0.771","8.708","9.032","12.824","8.544","11.168","12.263","18.605","4.359","15.527","107.004"
"0","P","Andy Meyrick","2","1:20.495","43:48.203","Green","Track","0.588","6.680","7.790","12.255","8.010","10.154","11.700","16.763","1.582","4.973","140.306"
"5","P","Christian Fittipaldi","3","1:16.665","44:10.551","Green","Track","0.599","6.703","7.215","10.921","7.605","9.816","11.303","15.826","1.619","5.058","137.730"
"10","P","Ricky Taylor","3","1:15.705","44:16.099","Green","Track","0.595","6.689","6.828","10.765","7.673","9.719","11.187","15.595","1.601","5.053","138.655"
"31","P","Eric Curran","3","1:16.790","44:17.974","Green","Track","0.589","6.609","7.176","10.992","7.659","9.888","11.228","16.055","1.578","5.016","140.068"
"90","P","Marc Goossens","3","1:17.026","44:24.436","Green","Track","0.593","6.664","7.199","10.829","7.645","10.030","11.326","16.043","1.624","5.073","139.123"
"55","P","Tristan Nunez","3","1:17.012","44:33.713","Green","Track","0.590","6.671","7.197","10.916","7.576","9.910","11.286","16.216","1.648","5.002","139.831"
"70","P","Tom Long","3","1:18.157","44:36.647","Green","Track","0.586","6.626","7.173","11.480","7.754","10.010","11.367","16.522","1.644","4.995","140.785"
"0","P","Andy Meyrick","3","1:17.337","45:05.540","Green","Track","0.585","6.659","7.041","11.106","7.832","9.875","11.399","16.335","1.557","4.948","141.026"
"5","P","Christian Fittipaldi","4","1:15.748","45:26.299","Green","Track","0.594","6.671","6.997","10.663","7.498","9.700","11.196","15.703","1.629","5.097","138.889"
"10","P","Ricky Taylor","4","1:15.545","45:31.644","Green","Track","0.594","6.680","6.875","10.739","7.632","9.770","11.163","15.430","1.609","5.053","138.889"
"31","P","Eric Curran","4","1:16.270","45:34.244","Green","Track","0.587","6.613","7.130","10.780","7.662","9.794","11.257","15.848","1.584","5.015","140.545"
"90","P","Marc Goossens","4","1:16.163","45:40.599","Green","Track","0.595","6.654","7.016","10.804","7.569","9.792","11.180","15.848","1.632","5.073","138.655"
"60","P","John Pew","3","1:56.968","45:44.468","Green","Track","0.000","0.000","18.698","13.532","9.200","11.156","12.104","17.165","1.655","5.120","0.000"
"55","P","Tristan Nunez","4","1:16.500","45:50.213","Green","Track","0.587","6.638","6.974","11.033","7.587","9.704","11.300","16.006","1.658","5.013","140.545"
"70","P","Tom Long","4","1:16.594","45:53.241","Green","Track","0.585","6.606","6.936","11.224","7.608","9.796","11.179","16.015","1.648","4.997","141.026"
"0","P","Andy Meyrick","4","1:16.459","46:21.999","Green","Track","0.580","6.613","7.102","10.866","7.634","9.766","11.290","16.162","1.544","4.902","142.241"
"5","P","Christian Fittipaldi","5","1:15.102","46:41.401","Green","Track","0.589","6.683","6.902","10.649","7.507","9.545","11.143","15.411","1.617","5.056","140.068"
"10","P","Ricky Taylor","5","1:16.739","46:48.383","Green","Track","0.592","6.681","6.735","10.558","7.595","9.556","12.247","16.114","1.595","5.066","139.358"
"31","P","Eric Curran","5","1:15.991","46:50.235","Green","Track","0.587","6.611","7.066","10.676","7.584","9.746","11.148","15.987","1.568","5.018","140.545"
"90","P","Marc Goossens","5","1:15.494","46:56.093","Green","Track","0.594","6.664","6.863","10.512","7.483","9.769","11.216","15.683","1.622","5.088","138.889"
"60","P","John Pew","4","1:18.665","47:03.133","Green","Track","0.598","6.736","7.331","11.462","7.906","9.960","11.571","16.336","1.662","5.103","137.960"
"55","P","Tristan Nunez","5","1:15.792","47:06.005","Green","Track","0.588","6.663","6.930","10.813","7.523","9.647","11.204","15.753","1.626","5.045","140.306"
"70","P","Tom Long","5","1:16.039","47:09.280","Green","Track","0.586","6.617","6.945","11.031","7.545","9.715","11.161","15.835","1.621","4.983","140.785"
"0","P","Andy Meyrick","5","1:16.006","47:38.005","Green","Track","0.578","6.594","6.906","10.795","7.565","9.791","11.203","16.057","1.568","4.949","142.734"
"5","P","Christian Fittipaldi","6","1:14.962","47:56.363","Green","Track","0.592","6.661","6.798","10.557","7.525","9.645","11.115","15.371","1.622","5.076","139.358"
"10","P","Ricky Taylor","6","1:15.375","48:03.758","Green","Track","0.595","6.709","6.870","10.594","7.630","9.631","11.132","15.536","1.597","5.081","138.655"
"31","P","Eric Curran","6","1:16.188","48:06.423","Green","Track","0.590","6.629","7.006","10.909","7.615","9.708","11.232","15.899","1.581","5.019","139.831"
"60","P","John Pew","4","1:19.990","47:03.133","Red","Track","0.596","6.719","7.301","11.300","7.806","9.905","11.477","17.893","1.787","0.000","138.423"
"70","P","Tom Long","5","1:58.180","47:09.280","Red","Track","0.587","6.615","6.813","10.880","7.644","9.589","11.111","42.788","5.296","0.000","140.545"
"55","P","Tristan Nunez","5","2:13.459","47:06.005","Red","Track","0.595","6.808","6.888","10.807","7.622","9.695","11.304","59.415","5.164","0.000","138.655"
"5","P","Christian Fittipaldi","6","1:36.730","47:56.363","Red","Pit","0.594","6.687","6.750","10.542","8.065","10.710","13.530","0.000","0.000","15.260","138.889"
"10","P","Ricky Taylor","6","1:30.571","48:03.758","Red","Pit","0.597","6.722","6.652","10.494","7.710","9.927","11.647","0.000","0.000","15.290","138.191"
"31","P","Eric Curran","6","1:30.874","48:06.423","Red","Track","0.590","6.632","7.100","12.134","8.341","10.794","12.079","0.000","0.000","0.000","139.831"
"0","P","Andy Meyrick","5","2:03.246","47:38.005","Red","Track","0.579","6.563","6.949","10.877","7.779","9.704","11.873","45.555","6.568","0.000","142.487"
"60","P","John Pew","4","3:11.016","47:03.133","Red","Track","0.600","7.619","8.704","13.797","9.190","11.761","14.150","0.000","0.000","0.000","137.500"
"90","P","Marc Goossens","5","3:52.054","46:56.093","Red","Pit","0.594","6.665","6.780","10.487","7.769","9.795","11.284","156.794","5.763","16.123","138.889"
