"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"62","GTLM","Toni Vilander","17","51.158","16:33.142","Green","Track","0.461","0.822","9.500","10.161","13.292","5.240","8.980","2.702","150.488"
"9","GTD","Lawson Aschenbach","15","55.883","16:34.950","Green","Track","0.472","0.841","9.942","10.772","14.125","6.073","10.883","2.775","146.981"
"4","GTLM","Oliver Gavin","17","52.644","16:36.696","Green","Track","0.462","0.821","9.917","10.499","13.866","5.279","9.066","2.734","150.162"
"67","GTLM","Ryan Briscoe","16","1:33.666","16:37.965","Green","Track","0.000","0.000","12.290","10.444","13.568","5.607","9.568","2.759","0.000"
"6","GTD","Robin Liddell","16","54.399","16:37.904","Green","Track","0.478","0.851","10.046","10.708","14.256","5.633","9.616","2.811","145.136"
"88","PC","Remo Ruscitti","8","1:01.087","16:40.357","Green","Track","0.000","0.000","12.793","11.628","13.523","5.174","8.799","2.627","0.000"
"7","PC","Jose Gutierrez","12","51.590","16:40.635","Green","Track","0.444","0.794","9.488","10.852","13.581","5.104","8.711","2.616","156.250"
"52","PC","Tom Kimber-Smith","17","49.778","16:41.054","Green","Track","0.448","0.801","9.372","10.017","13.103","4.995","8.467","2.575","154.855"
"3","GTLM","Antonio Garcia","16","56.848","16:45.753","Green","Track","0.464","0.828","11.600","12.776","14.183","5.293","8.986","2.718","149.515"
"16","GTD","Corey Lewis","15","54.818","16:47.187","Green","Track","0.470","0.836","10.353","11.012","14.244","5.587","9.535","2.781","147.606"
"912","GTLM","Earl Bamber","17","52.216","16:51.188","Green","Track","0.463","0.827","10.208","10.348","13.395","5.221","9.029","2.725","149.838"
"22","GTD","Leh Keen","17","55.663","16:53.566","Green","Track","0.475","0.848","11.538","11.161","13.911","5.428","9.495","2.807","146.053"
"97","GTD","Markus Palttala","18","54.263","16:54.009","Green","Track","0.464","0.830","10.086","11.272","13.894","5.514","9.449","2.754","149.515"
"100","GTLM","Lucas Luhr","15","53.573","16:55.336","Green","Track","0.467","0.831","9.602","11.078","14.459","5.288","9.116","2.732","148.555"
"911","GTLM","Nick Tandy","15","53.239","16:56.049","Green","Track","0.468","0.835","9.723","10.364","14.414","5.424","9.240","2.771","148.237"
"25","GTLM","Bill Auberlen","14","52.662","16:56.172","Green","Track","0.457","0.818","9.690","10.276","14.042","5.478","9.182","2.719","151.805"
"27","GTD","Lawrence DeGeorge","14","1:05.559","17:02.588","Green","Track","0.500","0.893","12.032","12.980","18.488","6.618","10.953","3.095","138.750"
"85","PC","Stephen Simpson","14","51.112","17:03.275","Green","Track","0.452","0.807","9.755","10.169","13.154","5.377","8.768","2.630","153.485"
"38","PC","Kyle Marcelli","17","51.249","17:04.738","Green","Track","0.445","0.793","9.484","10.123","13.208","5.365","9.222","2.609","155.899"
"48","GTD","Bryan Sellers","13","53.274","17:08.457","Green","Track","0.470","0.836","9.991","10.690","13.676","5.419","9.427","2.765","147.606"
"20","PC","Matthew McMurry","11","50.988","17:09.716","Green","Track","0.444","0.790","9.887","10.210","13.396","5.077","8.578","2.606","156.250"
"44","GTD","John Potter","16","54.837","17:13.272","Green","Track","0.471","0.848","10.638","10.970","14.117","5.627","9.391","2.775","147.293"
"66","GTLM","Dirk Mueller","16","57.647","17:16.127","Green","Track","0.455","0.813","9.625","10.247","16.983","7.659","9.168","2.697","152.473"
"33","GTD","Jeroen Bleekemolen","14","53.817","17:16.945","Green","Track","0.470","0.837","10.089","10.678","13.809","5.560","9.587","2.787","147.606"
"540","GTD","Andy Pilgrim","18","54.707","17:22.010","Green","Track","0.477","0.848","10.298","11.105","13.968","5.582","9.606","2.823","145.440"
"23","GTD","Alex Riberas","14","2:44.203","17:25.150","Green","Track","0.000","0.000","12.840","11.085","14.150","5.535","9.769","2.820","0.000"
"62","GTLM","Toni Vilander","18","55.012","17:28.154","Green","Track","0.460","0.820","10.015","10.509","13.715","7.534","9.248","2.711","150.815"
"4","GTLM","Oliver Gavin","18","52.934","17:29.630","Green","Track","0.462","0.826","9.736","10.375","13.747","5.776","9.278","2.734","150.162"
"9","GTD","Lawson Aschenbach","16","55.461","17:30.411","Green","Track","0.469","0.836","9.952","10.717","14.779","5.772","10.131","2.805","147.921"
"96","GTD","Bret Curtis","16","58.301","17:31.167","Green","Track","0.468","0.833","10.799","11.439","15.218","6.716","10.025","2.803","148.237"
"88","PC","Remo Ruscitti","9","50.954","17:31.311","Green","Track","0.446","0.795","9.702","10.302","13.279","5.047","8.755","2.628","155.549"
"7","PC","Jose Gutierrez","13","51.026","17:31.661","Green","Track","0.445","0.793","9.789","10.312","13.219","5.113","8.743","2.612","155.899"
"52","PC","Tom Kimber-Smith","18","50.864","17:31.918","Green","Track","0.438","0.782","9.668","10.531","13.154","5.158","8.570","2.563","158.390"
"8","PC","Renger van der Zande","14","1:05.158","17:35.764","Green","Track","0.466","0.000","0.000","0.000","0.000","0.000","0.000","0.000","148.873"
"3","GTLM","Antonio Garcia","17","51.714","17:37.467","Green","Track","0.462","0.825","9.683","10.177","13.670","5.236","8.951","2.710","150.162"
"6","GTD","Robin Liddell","17","1:01.871","17:39.775","Green","Track","0.474","0.845","10.591","11.324","19.585","6.628","9.585","2.839","146.361"
"16","GTD","Corey Lewis","16","54.326","17:41.513","Green","Track","0.467","0.835","10.339","10.806","14.002","5.602","9.503","2.772","148.555"
"67","GTLM","Ryan Briscoe","17","1:04.185","17:42.150","Green","Pit","0.466","0.832","10.045","10.272","13.361","5.603","11.997","11.609","148.873"
"912","GTLM","Earl Bamber","18","51.732","17:42.920","Green","Track","0.462","0.827","9.568","10.209","13.605","5.292","9.046","2.723","150.162"
"22","GTD","Leh Keen","18","53.484","17:47.050","Green","Track","0.472","0.845","9.994","10.697","13.826","5.480","9.397","2.773","146.981"
"97","GTD","Markus Palttala","19","53.506","17:47.515","Green","Track","0.464","0.828","10.014","10.853","13.785","5.484","9.342","2.736","149.515"
"100","GTLM","Lucas Luhr","16","52.402","17:47.738","Green","Track","0.461","0.825","9.661","10.434","13.608","5.378","9.285","2.750","150.488"
"911","GTLM","Nick Tandy","16","52.669","17:48.718","Green","Track","0.468","0.836","9.832","10.391","13.746","5.403","9.232","2.761","148.237"
"25","GTLM","Bill Auberlen","15","54.766","17:50.938","Green","Track","0.460","0.821","9.969","10.682","14.293","6.847","9.002","2.692","150.815"
"38","PC","Kyle Marcelli","18","54.854","17:59.592","Green","Track","0.445","0.794","10.019","10.318","15.243","6.627","8.812","2.596","155.899"
"20","PC","Matthew McMurry","12","51.249","18:00.965","Green","Track","0.444","0.795","9.282","10.435","13.778","5.233","8.679","2.603","156.250"
"48","GTD","Bryan Sellers","14","54.940","18:03.397","Green","Track","0.466","0.830","10.023","10.716","14.630","5.917","9.594","2.764","148.873"
"27","GTD","Lawrence DeGeorge","15","1:02.609","18:05.197","Green","Track","0.514","0.933","12.879","11.932","15.441","6.599","11.354","2.957","134.971"
"44","GTD","John Potter","17","54.117","18:07.389","Green","Track","0.470","0.837","10.191","10.790","14.094","5.515","9.427","2.793","147.606"
