"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"38","PC","James French","4","2:03.098","10:21.622","Green","Track","1.399","19.582","23.136","9.241","9.362","0.448","4.589","0.436","23.073","23.714","8.118","149.782","153.904"
"100","GTLM","John Edwards","4","3:08.098","10:23.731","Green","Pit","1.476","20.390","24.444","9.386","9.756","0.463","4.699","0.422","22.906","23.399","70.757","144.929","159.010"
"60","P","Oswaldo Negri Jr.","5","2:00.310","10:31.653","Green","Track","1.360","19.211","22.761","9.217","9.118","0.430","4.435","0.400","22.517","22.886","7.975","156.052","167.756"
"23","GTD","Mario Farnbacher","4","2:09.886","10:42.542","Green","Track","1.491","20.869","25.043","9.498","10.054","0.476","4.796","0.431","23.408","25.165","8.655","140.971","155.690"
"48","GTD","Madison Snow","4","3:15.403","10:44.344","Green","Pit","1.476","20.571","25.330","9.778","9.886","0.466","4.678","0.417","23.356","25.648","73.797","143.996","160.917"
"6","GTD","Andrew Davis","4","3:17.349","10:48.044","Green","Pit","1.494","20.940","25.397","9.466","10.028","0.470","4.763","0.427","23.406","25.424","75.534","142.771","157.148"
"26","PC","Don Yount","4","3:23.527","10:55.289","Green","Pit","1.407","20.706","26.192","10.274","9.544","0.447","4.561","0.464","24.157","25.922","79.853","150.117","144.617"
"90","P","Marc Goossens","5","2:02.817","11:02.970","Green","Track","1.369","19.185","24.054","9.825","9.179","0.433","4.409","0.398","22.649","23.291","8.025","154.971","168.599"
"8","PC","Renger van der Zande","4","2:06.639","11:04.804","Green","Track","1.408","19.710","25.319","9.426","9.457","0.449","4.597","0.422","23.414","24.217","8.220","149.448","159.010"
"80","GTD","Mike Skeen","4","2:20.933","11:08.826","Green","Track","5.941","24.423","26.201","10.469","9.832","0.464","4.701","0.419","23.896","25.945","8.642","144.617","160.149"
"0","P","Katherine Legge","5","2:01.807","11:18.562","Green","Track","1.319","19.630","23.962","9.099","8.921","0.419","4.331","0.391","22.542","23.350","7.843","160.149","171.617"
"5","P","Joao Barbosa","5","2:02.571","11:21.101","Green","Track","1.353","19.544","23.579","9.580","9.152","0.435","4.405","0.402","22.607","23.599","7.915","154.258","166.921"
"85","PC","Stephen Simpson","5","2:04.846","11:24.233","Green","Track","1.400","19.778","24.447","9.324","9.348","0.446","4.563","0.412","22.882","24.152","8.094","150.454","162.870"
"3","GTLM","Antonio Garcia","5","2:06.843","11:26.372","Green","Track","1.447","20.416","24.606","9.210","9.732","0.457","4.617","0.419","22.965","24.412","8.562","146.832","160.149"
"7","PC","Jose Gutierrez","4","2:25.477","11:26.124","Green","Pit","1.397","20.231","25.104","10.135","9.401","0.447","4.573","0.465","23.539","24.211","25.974","150.117","144.306"
"88","PC","Richard Bradley","5","2:22.885","11:29.328","Green","Pit","1.403","20.068","23.990","9.325","9.389","0.447","4.582","0.412","23.274","24.480","25.515","150.117","162.870"
"96","GTD","Jens Klingmann","4","2:21.399","11:30.526","Green","Track","6.017","27.244","25.636","9.560","9.799","0.462","4.687","0.421","23.579","25.415","8.579","145.243","159.388"
"62","GTLM","Toni Vilander","5","2:05.735","11:31.880","Green","Track","1.457","19.819","24.348","9.285","9.777","0.461","4.715","0.423","22.648","24.236","8.566","145.558","158.634"
"31","P","Dane Cameron","4","2:02.216","11:36.786","Green","Track","1.363","19.312","24.062","9.431","9.155","0.436","4.414","0.397","22.511","23.140","7.995","153.904","169.023"
"4","GTLM","Oliver Gavin","5","2:22.151","11:37.183","Green","Pit","1.451","19.945","24.478","9.271","9.734","0.459","4.649","0.416","22.995","23.558","25.195","146.192","161.304"
"007","GTD","David Calvert-Jones","5","2:13.064","11:43.586","Green","Track","1.519","20.981","26.223","9.959","9.996","0.466","4.746","0.426","24.043","25.964","8.741","143.996","157.517"
"67","GTLM","Ryan Briscoe","4","2:56.596","11:43.733","Green","Pit","1.471","20.258","24.464","9.251","9.763","0.462","4.706","0.430","23.124","23.729","58.938","145.243","156.052"
"912","GTLM","Earl Bamber","5","2:07.253","12:09.696","Green","Track","1.473","19.938","24.606","9.275","9.781","0.464","4.694","0.420","23.086","24.826","8.690","144.617","159.767"
"911","GTLM","Nick Tandy","4","2:16.298","12:16.743","Green","Track","6.031","23.132","24.494","9.331","9.829","0.467","4.751","0.425","23.837","25.264","8.737","143.688","157.888"
"9","GTD","Matt Bell","5","2:18.373","12:21.573","Green","Track","5.954","24.195","25.289","9.543","10.014","0.468","4.764","0.424","23.383","25.498","8.841","143.381","158.260"
"38","PC","James French","5","2:03.570","12:25.192","Green","Track","1.400","19.534","23.880","9.374","9.385","0.448","4.577","0.412","22.799","23.653","8.108","149.782","162.870"
"52","PC","Tom Kimber-Smith","5","2:13.860","12:35.014","Green","Track","6.097","24.050","24.425","9.345","9.331","0.451","4.603","0.440","23.127","23.883","8.108","148.786","152.505"
