"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"8","PC","Renger van der Zande","4","2:00.888","8:40.454","Green","Track","5.275","9.677","19.776","0.496","22.366","27.387","19.790","11.457","4.664","165.758"
"0","P","Katherine Legge","4","2:18.064","8:42.066","Green","Pit","5.059","9.867","19.532","0.481","21.812","27.064","20.963","14.157","19.129","170.927"
"96","GTD","Jens Klingmann","3","2:48.023","8:43.098","Green","Track","42.664","12.703","21.111","0.516","23.196","29.146","21.504","12.240","4.943","159.333"
"31","P","Dane Cameron","3","2:44.808","8:51.484","Green","Track","46.700","12.589","20.097","0.481","22.271","27.273","19.727","11.159","4.511","170.927"
"85","PC","Stephen Simpson","4","2:04.086","8:58.018","Green","Track","5.280","10.110","20.178","0.501","22.159","28.438","20.887","11.822","4.711","164.104"
"77","GTD","Gunnar Jeannette","4","2:08.917","9:01.120","Green","Track","5.458","10.943","21.099","0.510","23.195","29.370","21.224","12.195","4.923","161.208"
"5","P","Joao Barbosa","3","3:06.272","9:02.443","Green","Pit","44.830","15.235","20.706","0.509","23.786","27.938","20.294","14.347","18.627","161.524"
"3","GTLM","Jan Magnussen","4","2:06.112","9:05.165","Green","Track","5.423","10.155","20.576","0.508","22.495","28.822","21.124","12.104","4.905","161.842"
"44","GTD","Andy Lally","4","2:25.936","9:11.975","Green","Pit","5.495","10.371","20.987","0.516","23.312","28.885","23.203","14.808","18.359","159.333"
"4","GTLM","Oliver Gavin","4","2:21.531","9:13.942","Green","Pit","5.373","10.541","20.538","0.506","22.433","28.509","20.963","14.080","18.588","162.482"
"33","GTD","Jeroen Bleekemolen","4","2:09.006","9:23.016","Green","Track","5.368","10.548","20.820","0.502","23.221","29.818","21.642","12.231","4.856","163.777"
"9","GTD","Lawson Aschenbach","4","2:07.693","9:26.109","Green","Track","5.458","10.468","20.864","0.511","22.766","29.200","21.248","12.225","4.953","160.892"
"25","GTLM","Bill Auberlen","4","2:22.669","9:27.048","Green","Pit","5.482","10.130","20.675","0.515","22.716","28.685","21.483","14.641","18.342","159.643"
"10","P","Jordan Taylor","4","1:58.643","9:30.117","Green","Track","5.045","9.491","19.797","0.475","21.548","26.610","19.811","11.341","4.525","173.086"
"16","GTD","Corey Lewis","4","2:09.984","9:31.718","Green","Track","5.402","10.556","21.042","0.508","23.385","29.932","21.596","12.632","4.931","161.842"
"62","GTLM","Giancarlo Fisichella","4","2:08.539","9:41.735","Green","Track","5.422","9.872","20.424","0.507","22.361","29.741","23.162","12.161","4.889","162.162"
"7","PC","Gustavo Yacaman","3","3:18.810","9:46.972","Green","Track","72.512","14.294","21.061","0.501","23.599","28.963","21.117","12.052","4.711","164.104"
"6","GTD","Andrew Davis","4","2:10.153","9:48.264","Green","Track","5.470","11.021","21.039","0.515","23.139","29.630","22.060","12.330","4.949","159.643"
"73","GTD","Patrick Lindsey","4","2:24.286","9:51.928","Green","Pit","5.456","10.248","21.080","0.511","22.780","29.695","21.446","14.185","18.885","160.892"
"27","GTD","Cedric Sbirrazzuoli","4","2:13.414","9:52.806","Green","Track","5.396","10.650","21.395","0.503","23.590","31.761","22.697","12.486","4.936","163.451"
"100","GTLM","Lucas Luhr","4","2:05.492","10:05.897","Green","Track","5.485","10.246","20.648","0.515","22.558","28.343","20.882","11.917","4.898","159.643"
"54","PC","Colin Braun","4","2:20.778","10:05.955","Green","Pit","5.275","9.728","19.663","0.496","22.126","29.880","21.045","13.783","18.782","165.758"
"66","GTLM","Dirk Mueller","4","2:24.066","10:06.349","Green","Pit","5.398","10.136","20.456","0.502","22.876","30.292","21.292","14.829","18.285","163.777"
"70","P","Joel Miller","3","2:38.027","10:08.815","Green","Pit","22.483","12.279","19.746","0.480","22.039","26.822","20.930","14.478","18.770","171.283"
"52","PC","Robert Alon","4","2:18.288","10:10.767","Green","Pit","5.283","9.640","19.941","0.499","22.283","27.437","20.132","14.177","18.896","164.761"
"97","GTD","Markus Palttala","4","2:09.857","10:11.611","Green","Track","5.427","11.108","21.014","0.510","23.159","29.784","21.612","12.340","4.903","161.208"
"912","GTLM","Frederic Makowiecki","4","2:08.950","10:17.038","Green","Track","5.420","10.043","20.667","0.508","24.049","29.745","21.603","12.032","4.883","161.842"
"67","GTLM","Richard Westbrook","4","3:05.604","10:18.004","Green","Track","48.943","17.332","23.298","0.601","25.431","30.352","22.488","12.259","4.900","136.799"
"60","P","Oswaldo Negri Jr.","5","2:19.271","10:24.702","Green","Pit","5.023","10.152","20.613","0.482","21.958","28.425","20.075","13.576","18.967","170.572"
"38","PC","Kyle Marcelli","4","2:01.039","10:30.558","Green","Track","5.294","9.761","20.016","0.501","22.038","26.982","20.096","11.661","4.690","164.104"
"88","PC","Mark Kvamme","3","3:35.653","10:36.242","Green","Pit","63.370","15.432","22.915","0.587","25.725","31.156","22.175","15.031","19.262","140.061"
"90","P","Marc Goossens","5","2:13.368","10:37.441","Green","Pit","5.064","9.403","19.454","0.477","21.529","26.577","19.463","12.728","18.673","172.360"
"23","GTD","Mario Farnbacher","4","2:08.542","10:45.216","Green","Track","5.522","10.293","20.935","0.517","23.104","29.426","21.497","12.278","4.970","159.025"
"31","P","Dane Cameron","4","1:57.624","10:49.108","Green","Track","5.043","9.425","19.219","0.478","21.226","26.546","19.957","11.228","4.502","172.000"
"85","PC","Stephen Simpson","5","2:01.393","10:59.411","Green","Track","5.302","9.966","19.933","0.501","21.918","27.481","20.133","11.433","4.726","164.104"
"8","PC","Renger van der Zande","5","2:19.582","11:00.036","Green","Pit","5.265","9.865","19.988","0.498","21.734","28.423","20.538","14.520","18.751","165.092"
"22","GTD","Cooper MacNeil","4","3:32.334","11:01.996","Green","Pit","5.471","10.515","21.004","0.508","23.513","31.584","22.776","15.945","81.018","161.842"
"48","GTD","Bryan Sellers","4","3:23.540","11:02.505","Green","Track","76.165","13.190","21.072","0.509","23.396","29.701","22.282","12.312","4.913","161.524"
"20","PC","Matthew McMurry","3","4:44.083","11:05.821","Green","Pit","140.295","13.738","21.456","0.511","23.934","28.778","21.599","15.047","18.725","160.892"
"96","GTD","Jens Klingmann","4","2:24.222","11:07.320","Green","Pit","5.478","10.261","20.756","0.513","23.000","29.156","22.300","14.208","18.550","160.265"
"77","GTD","Gunnar Jeannette","5","2:08.480","11:09.600","Green","Track","5.453","10.237","20.900","0.513","23.004","29.971","21.303","12.176","4.923","160.265"
"3","GTLM","Jan Magnussen","5","2:05.660","11:10.825","Green","Track","5.417","10.158","20.630","0.509","22.539","28.576","20.954","12.003","4.874","161.524"
"33","GTD","Jeroen Bleekemolen","5","2:08.749","11:31.765","Green","Track","5.369","10.498","20.797","0.503","23.122","29.796","21.571","12.238","4.855","163.451"
"55","P","Jonathan Bomarito","5","3:14.208","11:39.834","Green","Pit","51.390","14.292","21.114","0.520","24.180","28.980","21.393","13.720","18.619","158.108"
"10","P","Jordan Taylor","5","2:13.912","11:44.029","Green","Pit","5.056","9.459","19.143","0.475","22.356","26.622","19.453","12.791","18.557","173.086"
"5","P","Joao Barbosa","4","2:44.091","11:46.534","Green","Track","42.931","14.078","20.275","0.480","22.929","27.423","19.981","11.477","4.517","171.283"
"7","PC","Gustavo Yacaman","4","2:01.897","11:48.869","Green","Track","5.304","9.859","20.071","0.499","22.060","27.597","19.970","11.845","4.692","164.761"
"9","GTD","Lawson Aschenbach","5","2:24.444","11:50.553","Green","Pit","5.455","10.412","20.890","0.512","23.191","29.659","21.433","14.379","18.513","160.578"
"911","GTLM","Nick Tandy","4","4:34.696","11:51.344","Green","Track","149.489","12.524","21.123","0.514","23.688","29.143","21.228","12.049","4.938","159.953"
"16","GTD","Corey Lewis","5","2:26.400","11:58.118","Green","Pit","5.396","10.556","21.009","0.507","23.435","30.117","21.581","14.705","19.094","162.162"
"62","GTLM","Giancarlo Fisichella","5","2:20.640","12:02.375","Green","Pit","5.438","9.881","20.459","0.510","22.524","28.352","20.902","13.945","18.629","161.208"
"27","GTD","Cedric Sbirrazzuoli","5","2:09.958","12:02.764","Green","Track","5.417","10.579","21.119","0.506","23.264","29.952","21.613","12.562","4.946","162.482"
"6","GTD","Andrew Davis","5","2:25.010","12:13.274","Green","Pit","5.461","10.474","21.081","0.512","23.617","29.694","21.446","13.932","18.793","160.578"
"26","PC","Johnny Mowlem","4","4:51.275","12:20.278","Green","Track","163.482","13.913","21.424","0.506","24.331","29.442","21.538","11.904","4.735","162.482"
"912","GTLM","Frederic Makowiecki","5","2:05.350","12:22.388","Green","Track","5.423","10.046","20.587","0.509","22.599","28.506","20.796","11.990","4.894","161.524"
"4","GTLM","Tommy Milner","5","3:11.077","12:25.019","Green","Track","64.901","14.727","20.916","0.507","22.899","28.864","21.233","12.143","4.887","162.162"
"100","GTLM","Lucas Luhr","5","2:20.353","12:26.250","Green","Pit","5.453","10.056","20.577","0.514","22.557","28.416","20.811","13.640","18.329","159.953"
"67","GTLM","Richard Westbrook","5","2:10.021","12:28.025","Green","Track","5.411","10.494","20.997","0.506","23.159","29.335","22.315","12.913","4.891","162.482"
"38","PC","Kyle Marcelli","5","2:00.470","12:31.028","Green","Track","5.284","9.867","19.816","0.498","21.880","26.957","19.953","11.532","4.683","165.092"
"97","GTD","Markus Palttala","5","2:26.377","12:37.988","Green","Pit","5.434","10.388","20.982","0.510","24.075","30.176","21.697","14.491","18.624","161.208"
"31","P","Dane Cameron","5","1:59.339","12:48.447","Green","Track","5.031","9.317","19.364","0.470","21.570","28.420","19.641","11.033","4.493","174.927"
