"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"0","P","Sean Rayhall","6","2:11.367","17:22.762","Green","Track","6.144","23.001","23.786","9.269","8.964","0.421","4.309","0.422","23.182","23.948","7.921","159.388","159.010"
"67","GTLM","Ryan Briscoe","5","7:06.282","17:23.702","Green","Pit","1.466","20.534","26.441","9.476","9.789","0.456","4.621","0.422","22.970","26.450","303.657","147.154","159.010"
"6","GTD","Robin Liddell","6","6:06.422","17:29.854","Green","Pit","1.491","20.786","25.389","9.999","9.947","0.461","4.659","0.415","23.743","25.459","244.073","145.558","161.692"
"25","GTLM","Bill Auberlen","6","2:17.327","17:31.813","Green","Track","5.980","24.863","24.539","9.684","10.001","0.467","4.739","0.424","23.130","24.934","8.566","143.688","158.260"
"80","GTD","Mike Skeen","6","2:09.562","17:33.864","Green","Track","1.485","20.536","25.482","9.416","9.791","0.458","4.641","0.415","23.393","25.338","8.607","146.512","161.692"
"26","PC","Don Yount","8","2:06.146","17:38.053","Green","Track","1.409","20.647","24.066","9.464","9.389","0.437","4.485","0.419","23.357","24.259","8.214","153.552","160.149"
"73","GTD","Jorg Bergmeister","5","2:20.381","17:41.059","Green","Track","6.057","24.510","25.275","9.602","9.904","0.464","4.732","0.424","24.761","25.781","8.871","144.617","158.260"
"912","GTLM","Earl Bamber","8","2:05.216","17:42.074","Green","Track","1.491","19.920","23.706","9.199","9.769","0.463","4.696","0.420","22.588","24.351","8.613","144.929","159.767"
"911","GTLM","Nick Tandy","8","2:06.137","17:45.073","Green","Track","1.479","19.902","23.767","9.748","9.728","0.457","4.642","0.414","22.980","24.448","8.572","146.832","162.083"
"85","PC","Misha Goikhberg","8","2:04.919","17:50.111","Green","Track","1.420","19.732","23.393","9.368","9.392","0.446","4.544","0.411","23.172","24.694","8.347","150.454","163.266"
"9","GTD","Matt Bell","7","2:10.493","18:00.273","Green","Track","1.497","20.700","25.020","9.710","9.959","0.462","4.693","0.417","23.698","25.452","8.885","145.243","160.917"
"38","PC","Nicholas Boulle","8","2:05.834","18:01.687","Green","Track","1.415","20.314","23.990","9.618","9.465","0.447","4.537","0.420","23.209","24.133","8.286","150.117","159.767"
"27","GTD","Paolo Ruberti","6","2:20.574","18:05.180","Green","Track","6.107","24.900","25.747","10.026","9.916","0.463","4.669","0.429","23.695","25.822","8.800","144.929","156.416"
"97","GTD","Markus Palttala","7","3:50.760","18:06.618","Green","Pit","1.478","20.714","24.775","9.662","9.927","0.464","4.678","0.418","24.129","26.109","108.406","144.617","160.532"
"60","P","Oswaldo Negri Jr.","6","5:51.060","18:08.153","Green","Pit","1.369","18.919","22.237","9.282","9.017","0.427","4.411","0.483","23.839","24.996","236.080","157.148","138.928"
"62","GTLM","Giancarlo Fisichella","7","4:24.080","18:17.936","Green","Pit","1.468","20.141","24.405","10.020","9.831","0.458","4.644","0.416","24.316","24.597","143.784","146.512","161.304"
"007","GTD","David Calvert-Jones","7","2:22.382","18:32.063","Green","Track","6.652","25.815","25.818","9.738","9.981","0.466","4.770","0.448","24.098","25.808","8.788","143.996","149.782"
"63","GTD","Alessandro Balzan","7","5:02.784","18:39.890","Green","Pit","1.479","20.543","25.159","9.840","9.857","0.463","4.711","0.454","23.989","24.780","181.509","144.929","147.802"
"23","GTD","Alex Riberas","6","2:21.468","18:43.843","Green","Track","6.052","26.931","25.291","9.587","10.054","0.474","4.773","0.426","23.637","25.554","8.689","141.566","157.517"
"48","GTD","Madison Snow","6","2:22.295","18:46.215","Green","Track","7.718","25.451","25.773","9.697","9.918","0.466","4.667","0.415","23.852","25.549","8.789","143.996","161.692"
"5","P","Joao Barbosa","7","1:59.540","19:02.707","Green","Track","1.363","19.084","22.869","8.934","8.989","0.422","4.316","0.395","22.185","22.973","8.010","159.010","169.879"
"10","P","Jordan Taylor","7","2:00.303","19:08.556","Green","Track","1.372","18.846","23.246","9.426","9.079","0.428","4.367","0.392","22.250","22.873","8.024","156.781","171.179"
"8","PC","Renger van der Zande","7","5:48.812","19:12.292","Green","Track","221.727","24.404","22.990","9.379","9.327","0.439","4.532","0.443","23.176","24.036","8.359","152.853","151.472"
"4","GTLM","Tommy Milner","7","5:27.473","19:14.577","Green","Track","195.668","24.576","24.320","9.765","9.711","0.460","4.651","0.456","24.203","25.071","8.592","145.875","147.154"
"44","GTD","John Potter","8","2:12.875","19:16.454","Green","Track","1.507","20.961","24.933","9.679","10.010","0.467","4.706","0.423","24.275","27.097","8.817","143.688","158.634"
"100","GTLM","John Edwards","7","2:05.474","19:20.457","Green","Track","1.483","19.867","23.910","9.225","9.768","0.463","4.691","0.421","22.727","24.314","8.605","144.929","159.388"
"55","P","Jonathan Bomarito","7","2:18.804","19:23.516","Green","Track","6.120","27.351","26.203","10.190","9.086","0.431","4.442","0.462","23.126","23.373","8.020","155.690","145.243"
"0","P","Sean Rayhall","7","2:02.128","19:24.890","Green","Track","1.349","19.505","23.600","9.155","8.963","0.422","4.285","0.386","22.611","23.983","7.869","159.010","173.840"
"25","GTLM","Bill Auberlen","7","2:06.491","19:38.304","Green","Track","1.486","20.081","24.151","9.358","9.873","0.463","4.709","0.421","22.803","24.455","8.691","144.929","159.388"
"80","GTD","Mike Skeen","7","2:08.783","19:42.647","Green","Track","1.471","20.332","24.884","9.384","9.724","0.457","4.627","0.415","23.606","25.247","8.636","146.832","161.692"
"67","GTLM","Ryan Briscoe","6","2:19.986","19:43.688","Green","Track","5.957","27.644","24.025","9.309","9.741","0.459","4.655","0.416","23.072","26.152","8.556","146.192","161.304"
"26","PC","Don Yount","9","2:06.426","19:44.479","Green","Track","1.408","20.104","24.345","9.497","9.324","0.440","4.478","0.410","23.180","25.003","8.237","152.505","163.664"
"912","GTLM","Earl Bamber","9","2:06.059","19:48.133","Green","Track","1.483","19.976","24.308","9.246","9.750","0.463","4.683","0.419","22.776","24.298","8.657","144.929","160.149"
"911","GTLM","Nick Tandy","9","2:05.783","19:50.856","Green","Track","1.476","19.899","23.860","9.260","9.773","0.457","4.633","0.414","22.855","24.577","8.579","146.832","162.083"
"6","GTD","Robin Liddell","7","2:22.799","19:52.653","Green","Track","5.947","25.695","25.382","9.533","10.048","0.509","5.344","0.461","23.900","27.242","8.738","131.832","145.558"
"73","GTD","Jorg Bergmeister","6","2:18.650","19:59.709","Green","Track","1.503","20.627","25.375","9.673","9.842","0.462","4.709","0.453","31.531","25.656","8.819","145.243","148.129"
"38","PC","Nicholas Boulle","9","2:06.074","20:07.761","Green","Track","1.413","20.012","24.362","9.530","9.399","0.450","4.543","0.412","23.537","24.131","8.285","149.116","162.870"
"9","GTD","Matt Bell","8","2:10.605","20:10.878","Green","Track","1.501","20.414","25.187","9.850","9.919","0.461","4.677","0.416","23.765","25.531","8.884","145.558","161.304"
"27","GTD","Paolo Ruberti","7","2:10.051","20:15.231","Green","Track","1.486","20.737","25.049","9.424","9.925","0.463","4.683","0.420","23.302","25.575","8.987","144.929","159.767"
"52","PC","Robert Alon","8","4:42.867","20:22.153","Green","Pit","1.406","19.915","23.580","9.558","9.412","0.443","4.504","0.409","22.976","23.138","167.526","151.472","164.064"
"60","P","Oswaldo Negri Jr.","7","2:17.554","20:25.707","Green","Track","6.127","23.160","25.194","10.057","9.109","0.430","4.394","0.412","25.146","25.479","8.046","156.052","162.870"
"97","GTD","Markus Palttala","8","2:21.245","20:27.863","Green","Track","6.022","25.382","25.314","10.012","9.868","0.461","4.666","0.417","24.207","26.071","8.825","145.558","160.917"
"62","GTLM","Giancarlo Fisichella","8","2:16.715","20:34.651","Green","Track","5.999","24.344","24.926","9.518","9.826","0.464","4.697","0.440","23.332","24.540","8.629","144.617","152.505"
"007","GTD","David Calvert-Jones","8","2:11.268","20:43.331","Green","Track","1.509","20.904","25.152","9.664","9.892","0.463","4.744","0.432","23.973","25.746","8.789","144.929","155.329"
