"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"85","PC","Stephen Simpson","56","1:14.128","1:10:08.849","Green","Track","2.837","19.124","22.551","11.285","0.430","7.522","4.063","6.316","158.827"
"23","GTD","Mario Farnbacher","52","1:19.317","1:10:12.514","Green","Track","3.131","21.010","24.154","11.798","0.444","7.863","4.215","6.702","153.819"
"90","P","Ryan Dalziel","57","1:13.947","1:10:12.558","Green","Track","2.784","19.821","22.551","10.838","0.410","6.976","4.039","6.528","166.574"
"10","P","Jordan Taylor","57","1:13.101","1:10:12.843","Green","Track","2.757","19.030","22.632","10.794","0.407","7.025","3.934","6.522","167.802"
"55","P","Jonathan Bomarito","57","1:12.582","1:10:17.251","Green","Track","2.809","18.655","22.428","10.749","0.411","7.130","4.053","6.347","166.169"
"48","GTD","Madison Snow","52","1:20.246","1:10:17.341","Green","Track","3.127","21.673","24.399","11.620","0.433","7.909","4.300","6.785","157.726"
"911","GTLM","Patrick Pilet","53","1:28.592","1:10:20.672","Green","Track","9.665","23.915","24.213","11.827","0.444","7.655","4.275","6.598","153.819"
"3","GTLM","Jan Magnussen","54","1:17.920","1:10:24.724","Green","Track","3.032","20.959","23.613","11.670","0.440","7.536","4.091","6.579","155.217"
"70","P","Joel Miller","57","1:16.038","1:10:24.963","Green","Track","2.804","20.056","24.286","10.872","0.413","7.289","4.079","6.239","165.364"
"88","PC","Richard Bradley","52","1:18.379","1:10:25.556","Green","Track","3.050","21.236","24.505","11.224","0.423","7.416","4.066","6.459","161.455"
"6","GTD","Robin Liddell","52","1:20.449","1:10:26.724","Green","Track","3.117","21.624","24.460","11.811","0.439","7.964","4.345","6.689","155.571"
"44","GTD","Andy Lally","51","1:20.461","1:10:27.160","Green","Track","3.343","21.182","24.627","11.677","0.432","8.001","4.376","6.823","158.091"
"25","GTLM","Dirk Werner","54","1:20.104","1:10:27.201","Green","Track","3.297","21.674","24.818","11.445","0.427","7.610","4.268","6.565","159.943"
"54","PC","Colin Braun","55","1:12.538","1:10:31.075","Green","Track","2.782","18.562","22.609","11.135","0.424","6.789","3.960","6.277","161.074"
"73","GTD","Jorg Bergmeister","52","1:19.019","1:10:33.025","Green","Track","3.171","20.742","24.104","11.668","0.436","7.834","4.231","6.833","156.641"
"66","GTLM","Joey Hand","54","1:18.359","1:10:33.172","Green","Track","3.009","20.312","24.063","11.557","0.431","7.961","4.208","6.818","158.458"
"60","P","Oswaldo Negri Jr.","56","1:13.223","1:10:36.770","Green","Track","2.772","19.539","22.532","10.828","0.414","6.849","3.935","6.354","164.965"
"16","GTD","Corey Lewis","52","1:19.653","1:10:41.490","Green","Track","3.146","21.302","24.159","11.677","0.433","7.835","4.361","6.740","157.726"
"4","GTLM","Tommy Milner","54","1:17.221","1:10:41.722","Green","Track","3.029","20.125","23.526","11.598","0.434","7.648","4.126","6.735","157.363"
"0","P","Katherine Legge","56","1:14.780","1:10:48.170","Green","Track","3.082","19.858","23.304","10.546","0.400","7.287","4.074","6.229","170.739"
"67","GTLM","Ryan Briscoe","54","1:16.814","1:10:49.576","Green","Track","3.057","19.968","23.737","11.668","0.435","7.444","4.026","6.479","157.001"
"33","GTD","Jeroen Bleekemolen","52","1:20.043","1:10:52.741","Green","Track","3.370","21.251","24.572","11.631","0.435","7.776","4.277","6.731","157.001"
"96","GTD","Jens Klingmann","52","1:19.859","1:10:53.279","Green","Track","3.223","20.960","24.696","11.685","0.437","7.679","4.347","6.832","156.283"
