"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"16","GTD","Spencer Pumpelly","1","2:59.283","2:59.283","Green","Track","6.103","11.364","21.711","0.511","39.667","30.611","21.677","12.438","4.961","160.892"
"55","P","Jonathan Bomarito","2","1:57.454","3:56.634","Green","Track","5.109","9.684","19.320","0.480","21.501","26.035","19.483","11.324","4.518","171.283"
"5","P","Christian Fittipaldi","2","1:57.956","3:58.376","Green","Track","5.068","9.473","19.368","0.474","21.645","26.637","19.604","11.182","4.505","173.451"
"10","P","Ricky Taylor","2","1:58.144","3:59.545","Green","Track","5.082","9.564","19.352","0.474","21.626","26.650","19.586","11.285","4.525","173.451"
"70","P","Tom Long","2","1:58.087","3:59.892","Green","Track","5.065","9.614","19.331","0.474","21.724","26.648","19.502","11.253","4.476","173.451"
"90","P","Marc Goossens","2","1:58.651","4:01.204","Green","Track","5.074","9.535","19.573","0.472","21.794","26.712","19.535","11.403","4.553","174.186"
"31","P","Eric Curran","2","1:58.913","4:02.153","Green","Track","5.051","9.565","19.380","0.471","21.776","26.939","19.937","11.284","4.510","174.556"
"0","P","Sean Rayhall","2","2:00.483","4:05.630","Green","Track","5.124","9.744","19.558","0.480","21.850","27.236","20.243","11.685","4.563","171.283"
"38","PC","James French","2","2:01.800","4:07.982","Green","Track","5.243","9.812","19.958","0.491","22.426","27.230","20.278","11.694","4.668","167.446"
"8","PC","Alex Popow","2","2:03.566","4:11.552","Green","Track","5.334","10.368","20.404","0.500","22.348","27.643","20.470","11.786","4.713","164.432"
"52","PC","Robert Alon","2","2:03.909","4:12.132","Green","Track","5.214","10.329","20.599","0.493","22.946","27.638","20.226","11.790","4.674","166.767"
"20","PC","Matthew McMurry","2","2:04.221","4:13.011","Green","Track","5.292","10.106","20.209","0.490","23.399","27.919","20.266","11.847","4.693","167.788"
"60","P","John Pew","2","2:03.054","4:14.064","Green","Track","5.028","10.032","19.800","0.478","22.690","28.618","20.239","11.651","4.518","172.000"
"7","PC","Jose Gutierrez","2","2:03.072","4:15.714","Green","Track","5.252","9.837","20.300","0.491","22.349","27.388","21.033","11.711","4.711","167.446"
"85","PC","Misha Goikhberg","2","2:05.982","4:16.365","Green","Track","5.298","10.123","20.188","0.504","22.918","28.608","21.543","12.052","4.748","163.127"
"54","PC","Jonathan Bennett","2","2:06.728","4:16.748","Green","Track","5.323","9.991","20.107","0.492","22.732","29.324","21.949","12.094","4.716","167.106"
"26","PC","Don Yount","2","2:05.846","4:18.147","Green","Track","5.262","10.057","20.621","0.526","23.358","28.010","21.472","11.846","4.694","156.304"
"88","PC","Mark Kvamme","2","2:08.266","4:22.966","Green","Track","5.340","10.260","20.631","0.496","23.759","29.197","21.261","12.522","4.800","165.758"
"911","GTLM","Patrick Pilet","2","2:05.042","4:39.936","Green","Track","5.450","9.952","20.598","0.506","22.337","28.415","20.951","11.940","4.893","162.482"
"62","GTLM","Giancarlo Fisichella","2","2:04.496","4:40.760","Green","Track","5.459","9.884","20.515","0.506","22.403","28.267","20.671","11.908","4.883","162.482"
"912","GTLM","Earl Bamber","2","2:05.261","4:42.684","Green","Track","5.428","10.244","20.543","0.508","22.456","28.372","20.750","12.054","4.906","161.842"
"3","GTLM","Antonio Garcia","2","2:05.748","4:43.311","Green","Track","5.364","10.337","20.732","0.503","22.719","28.457","20.808","11.962","4.866","163.451"
"4","GTLM","Oliver Gavin","2","2:05.910","4:44.188","Green","Track","5.400","10.353","20.549","0.496","23.023","28.365","20.790","12.052","4.882","165.758"
"23","GTD","Alex Riberas","2","2:09.249","4:50.538","Green","Track","5.533","10.484","21.073","0.513","23.252","29.298","21.600","12.508","4.988","160.265"
"6","GTD","Andrew Davis","2","2:09.392","4:51.110","Green","Track","5.438","10.581","20.895","0.505","23.638","29.545","21.502","12.327","4.961","162.804"
"33","GTD","Ben Keating","2","2:09.383","4:51.954","Green","Track","5.360","10.564","20.893","0.502","23.495","29.594","21.662","12.417","4.896","163.777"
"9","GTD","Matt Bell","2","2:09.340","4:52.294","Green","Track","5.466","10.488","21.011","0.509","23.302","29.760","21.365","12.456","4.983","161.524"
"27","GTD","Luca Persiani","2","2:10.432","4:55.184","Green","Track","5.398","10.701","20.957","0.500","23.652","29.930","21.941","12.442","4.911","164.432"
"67","GTLM","Ryan Briscoe","2","2:07.863","4:55.273","Green","Track","5.434","10.646","21.067","0.508","22.766","28.741","21.479","12.350","4.872","161.842"
"63","GTD","Christina Nielsen","2","2:12.097","4:56.460","Green","Track","5.553","10.490","21.045","0.515","23.512","30.014","23.108","12.868","4.992","159.643"
"25","GTLM","Bill Auberlen","2","2:08.653","4:56.484","Green","Track","5.481","10.495","21.492","0.520","22.990","28.411","21.656","12.685","4.923","158.108"
"100","GTLM","Lucas Luhr","2","2:08.665","4:56.601","Green","Track","5.502","10.913","21.135","0.509","23.488","28.498","21.105","12.621","4.894","161.524"
"48","GTD","Madison Snow","2","2:11.484","4:56.589","Green","Track","5.390","10.674","21.163","0.503","23.444","30.074","22.383","12.899","4.954","163.451"
"96","GTD","Bret Curtis","2","2:12.922","5:00.160","Green","Track","5.489","10.681","21.943","0.537","24.605","29.968","21.887","12.882","4.930","153.102"
"73","GTD","Patrick Lindsey","2","2:12.428","5:00.294","Green","Track","5.448","11.031","21.377","0.497","24.547","30.080","21.971","12.578","4.899","165.424"
"22","GTD","Cooper MacNeil","2","2:12.680","5:00.989","Green","Track","5.391","11.078","21.174","0.501","24.404","30.512","21.916","12.722","4.982","164.104"
"97","GTD","Michael Marsal","2","2:12.811","5:01.256","Green","Track","5.345","11.157","21.355","0.504","24.463","30.472","22.040","12.554","4.921","163.127"
"44","GTD","John Potter","2","2:12.766","5:01.732","Green","Track","5.459","10.679","21.418","0.510","24.550","30.452","22.101","12.595","5.002","161.208"
"80","GTD","Dan Knox","2","2:13.586","5:03.770","Green","Track","5.458","10.852","21.312","0.504","24.484","30.594","22.391","13.037","4.954","163.127"
"77","GTD","David MacNeil","2","2:19.226","5:11.995","Green","Track","5.550","11.583","21.799","0.515","25.113","32.001","24.204","13.433","5.028","159.643"
"16","GTD","Spencer Pumpelly","2","2:12.847","5:12.130","Green","Track","5.446","10.555","21.207","0.508","23.334","29.895","23.478","13.432","4.992","161.842"
"66","GTLM","Dirk Mueller","2","3:00.912","5:38.490","Green","Pit","5.517","10.595","20.789","0.497","23.536","28.549","51.208","21.974","18.247","165.424"
"55","P","Jonathan Bomarito","3","1:56.591","5:53.225","Green","Track","5.120","9.648","19.164","0.478","21.294","25.920","19.308","11.146","4.513","172.000"
"5","P","Christian Fittipaldi","3","1:57.078","5:55.454","Green","Track","5.055","9.349","19.292","0.474","21.374","26.490","19.433","11.099","4.512","173.451"
"10","P","Ricky Taylor","3","1:57.427","5:56.972","Green","Track","5.081","9.496","19.206","0.472","21.516","26.404","19.487","11.239","4.526","174.186"
"70","P","Tom Long","3","1:57.480","5:57.372","Green","Track","5.057","9.594","19.194","0.472","21.493","26.566","19.436","11.189","4.479","174.186"
"90","P","Marc Goossens","3","1:57.568","5:58.772","Green","Track","5.086","9.383","19.339","0.471","21.494","26.485","19.387","11.374","4.549","174.556"
"31","P","Eric Curran","3","1:58.097","6:00.250","Green","Track","5.047","9.522","19.245","0.472","21.500","26.818","19.716","11.265","4.512","174.186"
"0","P","Sean Rayhall","3","1:59.169","6:04.799","Green","Track","5.123","9.604","19.392","0.480","21.760","27.083","19.744","11.423","4.560","171.283"
"38","PC","James French","3","2:00.981","6:08.963","Green","Track","5.279","9.733","19.842","0.494","22.263","27.026","20.068","11.587","4.689","166.429"
"8","PC","Alex Popow","3","2:02.476","6:14.028","Green","Track","5.347","9.816","19.972","0.498","22.225","27.600","20.497","11.782","4.739","165.092"
"52","PC","Robert Alon","3","2:02.216","6:14.348","Green","Track","5.270","9.768","19.833","0.491","22.388","27.688","20.282","11.808","4.688","167.446"
"20","PC","Matthew McMurry","3","2:02.101","6:15.112","Green","Track","5.304","9.967","19.955","0.497","22.296","27.394","20.295","11.685","4.708","165.424"
"60","P","John Pew","3","2:01.450","6:15.514","Green","Track","5.074","9.902","19.713","0.473","22.323","27.417","20.283","11.747","4.518","173.818"
"7","PC","Jose Gutierrez","3","2:01.255","6:16.969","Green","Track","5.326","9.791","19.925","0.496","22.007","27.125","20.108","11.752","4.725","165.758"
"54","PC","Jonathan Bennett","3","2:03.885","6:20.633","Green","Track","5.299","9.971","20.217","0.496","22.372","28.064","20.930","11.788","4.748","165.758"
"26","PC","Don Yount","3","2:04.831","6:22.978","Green","Track","5.290","9.986","20.472","0.494","22.756","28.103","21.136","11.884","4.710","166.429"
