"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"23","GTD","Mario Farnbacher","3","10:05.593","8:47.539","Red","Pit","330.088","0.000","25.796","8.358","0.000","0.000","13.249","7.572","6.488","9.978","0.000","0.000","0.000"
"28","GTD","Marc Basseng","4","2:19.711","16:39.844","Red","Pit","13.654","29.216","25.394","8.091","-119.462","6.113","13.223","7.389","6.660","9.424","0.000","0.000","0.000"
"540","GTD","Patrick Long","2","2:23.124","16:40.689","Red","Pit","14.213","29.710","26.297","8.592","-123.068","0.000","142.853","0.000","6.538","9.198","0.000","146.252","0.000"
"73","GTD","Norbert Siedler","2","12:09.936","6:59.575","Red","Pit","316.957","36.083","26.997","8.584","6.829","6.528","471.655","8.023","6.636","10.255","0.000","0.000","0.000"
"72","GTLM","James Calado","3","2:16.101","16:55.669","Red","Pit","12.656","25.368","22.579","8.088","6.553","6.335","130.359","9.055","7.924","10.377","0.000","139.139","0.000"
"98","GTD","Richie Stanaway","3","2:26.547","16:48.377","Red","Track","13.885","29.506","25.643","8.486","6.721","6.918","142.770","8.026","7.696","11.733","0.488","0.000","167.660"
"66","GTLM","Joey Hand","4","2:20.626","16:56.126","Red","Pit","12.885","26.990","23.329","8.067","6.552","6.348","132.516","8.141","7.820","12.393","0.000","143.654","0.000"
"11","GTD","Townsend Bell","2","2:29.605","16:49.205","Red","Pit","14.976","29.551","26.429","8.493","6.775","6.711","142.383","7.710","7.416","12.663","0.471","152.595","173.712"
"21","GTD","Emanuele Busnelli","2","2:39.320","16:45.032","Red","Pit","16.509","31.700","28.035","8.900","7.280","7.036","154.506","8.210","7.411","13.036","0.000","0.000","0.000"
"26","PC","Ryan Eversley","3","2:30.863","16:54.799","Red","Pit","13.605","29.412","25.451","8.348","6.513","6.967","142.221","8.424","7.008","13.532","0.000","153.960","0.000"
"37","P","Mikhail Aleshin","3","2:33.224","16:54.621","Red","Pit","13.975","30.003","26.055","7.952","6.228","7.209","141.849","8.917","7.403","13.652","0.000","156.123","0.000"
"20","PC","Johnny Mowlem","3","10:49.764","8:39.738","Red","Pit","366.372","29.416","25.041","7.970","6.439","6.706","636.745","9.042","7.573","13.963","0.000","0.000","0.000"
"96","GTD","Marco Wittman","4","2:32.441","16:59.121","Red","Track","14.565","29.113","26.052","8.588","6.669","6.544","141.364","8.071","7.460","14.383","0.000","0.000","0.000"
"10","P","Ricky Taylor","5","2:35.030","16:59.978","Red","Pit","14.829","28.884","25.616","8.250","6.648","7.244","139.422","7.737","7.348","15.303","0.000","157.897","0.000"
