"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"912","GTLM","Frederic Makowiecki","4","55.505","29:28.464","Green","Track","0.461","0.828","11.170","11.844","14.043","5.356","9.068","2.735","150.488"
"3","GTLM","Jan Magnussen","5","51.571","29:35.993","Green","Track","0.462","0.824","9.658","10.230","13.514","5.227","8.945","2.711","150.162"
"66","GTLM","Joey Hand","5","53.379","29:39.708","Green","Track","0.458","0.820","9.521","10.217","13.608","6.572","9.481","2.702","151.474"
"67","GTLM","Richard Westbrook","5","50.957","29:43.887","Green","Track","0.460","0.820","9.537","10.153","13.283","5.150","8.865","2.689","150.815"
"4","GTLM","Tommy Milner","1","30:00.254","30:00.254","Green","Track","0.000","0.000","12.493","11.221","14.548","5.694","9.582","2.816","0.000"
"911","GTLM","Patrick Pilet","3","51.613","30:09.879","Green","Track","0.465","0.831","9.591","10.319","13.504","5.271","8.907","2.725","149.194"
"62","GTLM","Toni Vilander","4","51.242","30:14.993","Green","Track","0.463","0.829","9.666","10.227","13.278","5.205","8.879","2.695","149.838"
"912","GTLM","Frederic Makowiecki","5","51.467","30:19.931","Green","Track","0.465","0.830","9.475","10.302","13.394","5.241","9.029","2.731","149.194"
"3","GTLM","Jan Magnussen","6","51.430","30:27.423","Green","Track","0.461","0.824","9.596","10.223","13.513","5.236","8.884","2.693","150.488"
"66","GTLM","Joey Hand","6","51.015","30:30.723","Green","Track","0.460","0.821","9.518","10.120","13.424","5.217","8.779","2.676","150.815"
"67","GTLM","Richard Westbrook","6","50.900","30:34.787","Green","Track","0.457","0.815","9.538","10.110","13.244","5.186","8.854","2.696","151.805"
"100","GTLM","John Edwards","1","30:50.269","30:50.269","Green","Track","0.000","0.000","13.983","11.403","14.335","5.567","9.432","2.771","0.000"
"4","GTLM","Tommy Milner","2","54.083","30:54.337","Green","Track","0.477","0.903","10.266","10.637","14.184","5.499","9.348","2.769","145.440"
