"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"7","PC","Sean Rayhall","12","49.868","18:50.093","Green","Track","0.443","0.796","9.392","10.010","13.094","5.126","8.431","2.576","156.603"
"22","GTD","Leh Keen","17","1:01.392","18:52.285","Green","Track","0.556","1.004","10.743","11.221","16.955","7.511","10.581","2.821","124.775"
"16","GTD","Spencer Pumpelly","12","1:35.998","18:54.285","Green","Pit","0.473","0.842","10.553","11.519","14.220","5.743","11.627","41.021","146.670"
"96","GTD","Jens Klingmann","10","53.987","18:56.875","Green","Track","0.468","0.834","10.083","10.971","13.945","5.495","9.412","2.779","148.237"
"3","GTLM","Antonio Garcia","13","1:06.466","18:57.019","Green","Pit","0.461","0.823","9.705","10.592","14.777","5.755","12.680","11.673","150.488"
"62","GTLM","Toni Vilander","15","52.625","18:57.399","Green","Track","0.468","0.835","9.853","10.515","13.592","5.387","9.221","2.754","148.237"
"25","GTLM","Dirk Werner","15","52.140","18:59.854","Green","Track","0.463","0.830","9.804","10.428","13.480","5.345","9.073","2.717","149.838"
"66","GTLM","Dirk Mueller","14","1:04.593","19:00.562","Green","Pit","0.460","0.822","9.760","10.431","14.501","5.558","11.377","11.684","150.815"
"8","PC","Renger van der Zande","13","53.126","19:03.233","Green","Track","0.438","0.782","9.594","10.348","13.347","6.290","9.733","2.594","158.390"
"67","GTLM","Richard Westbrook","13","7:36.534","19:05.297","Green","Track","0.000","0.000","13.403","11.700","14.058","6.353","10.151","2.757","0.000"
"52","PC","Tom Kimber-Smith","18","51.929","19:07.103","Green","Track","0.447","0.798","9.587","10.200","13.399","5.223","9.560","2.715","155.201"
"54","PC","Jonathan Bennett","20","52.097","19:07.990","Green","Track","0.446","0.796","9.861","10.456","13.661","5.265","8.969","2.643","155.549"
"85","PC","Misha Goikhberg","18","52.455","19:08.740","Green","Track","0.448","0.799","9.942","10.447","13.581","5.435","9.128","2.675","154.855"
"20","PC","Johnny Mowlem","21","51.279","19:09.735","Green","Track","0.452","0.806","9.718","10.172","13.225","5.481","8.811","2.614","153.485"
"33","GTD","Ben Keating","14","1:10.041","19:11.219","Green","Track","0.000","0.000","13.077","11.310","15.735","7.197","9.990","2.808","0.000"
