"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"007","GTD","James Davison","66","1:28.408","1:41:55.152","Green","Track","1.738","0.488","4.037","26.909","20.240","15.013","8.928","11.055","135.991"
"6","GTD","Robin Liddell","66","1:27.737","1:41:59.523","Green","Track","1.776","0.503","4.072","26.290","20.325","14.916","8.820","11.035","131.936"
"33","GTD","Jeroen Bleekemolen","66","1:28.283","1:42:02.638","Green","Track","1.715","0.489","3.974","26.577","20.347","15.204","8.953","11.024","135.713"
"48","GTD","Bryan Sellers","66","1:28.375","1:42:04.563","Green","Track","1.753","0.500","4.039","26.526","20.400","15.168","8.872","11.117","132.727"
"22","GTD","Leh Keen","66","1:28.180","1:42:05.723","Green","Track","1.744","0.499","4.075","26.509","20.320","15.085","8.901","11.047","132.993"
"9","GTD","Lawson Aschenbach","66","1:28.143","1:42:06.425","Green","Track","1.777","0.502","4.083","26.613","20.301","14.954","8.803","11.110","132.198"
"11","GTD","Townsend Bell","66","1:28.168","1:42:11.720","Green","Track","1.760","0.504","4.057","26.549","20.451","14.952","8.858","11.037","131.674"
"16","GTD","Spencer Pumpelly","66","1:27.914","1:42:12.926","Green","Track","1.755","0.499","4.028","26.614","20.211","14.831","8.961","11.015","132.993"
"73","GTD","Jorg Bergmeister","66","1:28.136","1:42:18.179","Green","Track","1.741","0.498","4.051","26.400","20.411","15.181","8.847","11.007","133.260"
"540","GTD","Nicky Catsburg","42","1:27.030","1:42:22.031","Green","Track","1.749","0.499","4.043","26.091","20.106","14.738","8.895","10.909","132.993"
"52","PC","Tom Kimber-Smith","69","1:22.452","1:42:25.725","Green","Track","1.651","0.472","3.844","24.666","18.926","14.190","8.249","10.454","140.601"
"8","PC","Renger Van DerZande","69","1:22.541","1:42:29.774","Green","Track","1.644","0.468","3.944","24.705","18.822","14.178","8.242","10.538","141.803"
"85","PC","Stephen Simpson","69","1:22.666","1:42:39.017","Green","Track","1.648","0.472","3.917","24.871","18.894","14.041","8.328","10.495","140.601"
"38","PC","Kyle Marcelli","69","1:22.318","1:42:39.709","Green","Track","1.628","0.469","3.863","24.794","18.775","14.039","8.353","10.397","141.500"
"54","PC","Colin Braun","69","1:21.770","1:42:50.636","Green","Track","1.627","0.468","3.849","24.307","18.365","14.139","8.212","10.803","141.803"
"88","PC","Ashley Freiberg","67","1:26.088","1:42:50.987","Green","Track","1.646","0.470","4.024","25.547","19.578","14.904","8.761","11.158","141.199"
"97","GTD","Markus Palttala","66","1:28.204","1:43:05.850","Green","Track","1.765","0.507","3.993","26.674","20.398","14.846","8.886","11.135","130.895"
