"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"31","P","Eric Curran","6","1:20.232","10:01.189","Green","Track","1.613","0.462","3.769","24.066","18.336","13.894","7.885","10.207","143.644"
"70","P","Tom Long","7","1:19.251","10:03.300","Green","Track","1.600","0.461","3.741","23.808","18.220","13.499","7.741","10.181","143.956"
"10","P","Jordan Taylor","6","1:20.024","10:09.929","Green","Track","1.626","0.465","3.741","24.338","18.284","13.629","7.756","10.185","142.717"
"90","P","Marc Goossens","7","1:22.046","10:37.341","Green","Track","1.619","0.469","3.780","24.748","18.950","13.949","8.122","10.409","141.500"
"62","GTLM","Giancarlo Fisichella","7","1:24.495","10:39.814","Green","Track","1.757","0.499","3.978","25.527","19.498","14.265","8.337","10.634","132.993"
"911","GTLM","Patrick Pilet","7","1:24.977","10:45.314","Green","Track","1.758","0.500","4.001","25.581","19.635","14.484","8.526","10.492","132.727"
"912","GTLM","Frederic Makowiecki","7","1:24.508","10:47.026","Green","Track","1.758","0.498","3.970","25.143","19.561","14.541","8.500","10.537","133.260"
"55","P","Tristan Nunez","5","1:24.206","11:02.575","Green","Track","1.604","0.459","4.043","25.272","19.805","14.717","8.246","10.060","144.583"
"68","GTLM","Daniel Serra","6","1:24.286","11:04.611","Green","Track","1.750","0.494","4.039","25.395","19.397","14.427","8.270","10.514","134.339"
"0","P","Katherine Legge","4","1:25.874","11:16.714","Green","Track","1.580","0.452","3.901","25.649","20.196","15.360","8.434","10.302","146.822"
"5","P","Christian Fittipaldi","7","1:19.776","11:17.847","Green","Track","1.626","0.467","3.766","24.134","18.257","13.615","7.722","10.189","142.106"
"31","P","Eric Curran","7","1:20.613","11:21.802","Green","Track","1.618","0.462","3.773","24.110","18.446","14.036","7.948","10.220","143.644"
"70","P","Tom Long","8","1:19.121","11:22.421","Green","Track","1.600","0.461","3.738","23.856","18.200","13.575","7.698","9.993","143.956"
"10","P","Jordan Taylor","7","1:20.513","11:30.442","Green","Track","1.623","0.465","3.727","24.074","19.002","13.597","7.851","10.174","142.717"
"25","GTLM","Bill Auberlen","6","1:39.096","11:35.973","Green","Track","5.127","0.000","0.000","29.357","21.763","15.631","8.887","11.031","0.000"
"60","P","Oswaldo Negri","6","4:42.169","11:49.412","Green","Pit","1.609","0.464","3.747","24.805","18.959","14.395","9.941","208.249","143.025"
"100","GTLM","John Edwards","6","3:58.973","11:49.867","Green","Pit","1.776","0.501","4.179","25.924","19.951","14.710","9.823","162.109","132.462"
"90","P","Marc Goossens","8","1:22.098","11:59.439","Green","Track","1.630","0.464","3.799","24.835","19.032","13.900","8.092","10.346","143.025"
"62","GTLM","Giancarlo Fisichella","8","1:26.439","12:06.253","Green","Track","1.741","0.497","3.991","25.487","19.433","14.713","9.639","10.938","133.528"
"911","GTLM","Patrick Pilet","8","1:25.082","12:10.396","Green","Track","1.740","0.498","4.001","25.434","19.472","14.668","8.556","10.713","133.260"
"912","GTLM","Frederic Makowiecki","8","1:24.797","12:11.823","Green","Track","1.741","0.496","3.990","25.508","19.505","14.467","8.480","10.610","133.798"
"55","P","Tristan Nunez","6","1:20.245","12:22.820","Green","Track","1.596","0.458","3.831","24.221","18.517","13.609","7.857","10.156","144.899"
"3","GTLM","Jan Magnussen","7","3:13.951","12:27.165","Green","Pit","1.745","0.498","3.998","25.762","19.804","14.716","9.741","117.687","133.260"
"68","GTLM","Daniel Serra","7","1:23.504","12:28.115","Green","Track","1.747","0.495","3.966","25.268","19.256","13.970","8.243","10.559","134.068"
"0","P","Katherine Legge","5","1:23.822","12:40.536","Green","Track","1.567","0.454","3.721","24.883","19.617","15.097","8.322","10.161","146.175"
"10","P","Jordan Taylor","8","1:19.833","12:50.275","Green","Track","1.618","0.463","3.728","24.085","18.329","13.572","7.839","10.199","143.334"
"25","GTLM","Bill Auberlen","7","1:26.486","13:02.459","Green","Track","1.750","0.496","4.044","26.238","19.951","14.700","8.490","10.817","133.798"
"60","P","Oswaldo Negri","7","1:27.415","13:16.827","Green","Track","2.468","0.000","0.000","24.909","18.678","14.224","7.997","10.179","0.000"
"90","P","Marc Goossens","9","1:21.302","13:20.741","Green","Track","1.623","0.464","3.781","24.532","18.754","13.728","8.055","10.365","143.025"
"100","GTLM","John Edwards","7","1:38.492","13:28.359","Green","Track","5.308","0.000","0.000","29.677","21.150","15.279","8.760","10.877","0.000"
"62","GTLM","Giancarlo Fisichella","9","1:24.580","13:30.833","Green","Track","1.743","0.497","3.949","25.517","19.541","14.344","8.355","10.634","133.528"
