"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"25","GTLM","Dirk Werner","9","1:48.993","18:34.874","Green","Track","25.098","16.094","12.689","15.210","11.082","0.510","22.750","5.341","0.219","160.428"
"63","GTD","Christina Nielsen","8","2:08.576","18:36.136","Green","Track","33.593","18.432","15.853","17.481","11.296","0.516","25.732","5.451","0.222","158.562"
"6","GTD","Robin Liddell","8","1:45.473","18:39.356","Green","Track","21.572","15.910","12.898","15.179","11.190","0.514","22.530","5.459","0.221","159.179"
"33","GTD","Ben Keating","9","1:46.240","18:47.607","Green","Track","22.096","16.230","12.703","15.552","10.998","0.506","22.583","5.352","0.220","161.696"
"96","GTD","Bret Curtis","9","1:55.717","18:54.411","Green","Track","27.609","17.262","13.668","15.956","11.182","0.511","23.873","5.435","0.221","160.114"
"48","GTD","Bryan Sellers","8","1:44.706","19:15.654","Green","Track","21.467","15.869","12.735","15.127","11.046","0.504","22.355","5.383","0.220","162.338"
"3","GTLM","Jan Magnussen","9","1:55.024","19:21.152","Green","Track","27.343","15.490","12.465","15.099","10.949","0.517","27.586","5.355","0.220","158.256"
"16","GTD","Spencer Pumpelly","11","1:44.380","19:35.742","Green","Track","21.497","15.664","12.537","15.289","11.021","0.503","22.273","5.378","0.218","162.660"
"4","GTLM","Tommy Milner","10","1:42.668","19:35.978","Green","Track","21.140","15.331","12.255","14.951","11.020","0.505","21.927","5.320","0.219","162.016"
"66","GTLM","Dirk Mueller","8","6:51.935","19:45.653","Green","Pit","22.631","16.277","12.827","17.853","12.381","0.527","24.808","303.741","0.890","155.253"
"100","GTLM","John Edwards","10","3:25.674","19:51.093","Green","Pit","20.886","15.219","12.265","14.940","10.995","0.506","23.864","106.109","0.890","161.696"
"912","GTLM","Frederic Makowiecki","8","5:39.921","19:52.847","Green","Pit","20.856","15.149","12.260","14.872","11.046","0.508","27.243","237.081","0.906","161.059"
"911","GTLM","Nick Tandy","9","1:48.326","19:55.386","Green","Track","21.649","16.091","12.596","15.200","11.205","0.512","25.500","5.353","0.220","159.801"
"80","GTD","Dan Knox","10","1:48.533","20:03.475","Green","Track","22.432","16.700","13.031","15.738","11.074","0.509","23.442","5.387","0.220","160.743"
"62","GTLM","Toni Vilander","11","1:43.646","20:08.953","Green","Track","21.145","15.369","12.470","15.096","11.130","0.512","22.342","5.363","0.219","159.801"
"23","GTD","Mario Farnbacher","9","3:38.911","20:14.393","Green","Pit","22.231","15.876","12.666","15.249","11.255","0.518","24.672","115.591","0.853","157.950"
"25","GTLM","Dirk Werner","10","1:43.476","20:18.350","Green","Track","21.234","15.591","12.375","14.933","11.036","0.508","22.238","5.343","0.218","161.059"
"6","GTD","Robin Liddell","9","1:45.578","20:24.934","Green","Track","21.340","15.800","12.867","15.406","11.207","0.513","22.802","5.422","0.221","159.490"
"63","GTD","Christina Nielsen","9","1:49.903","20:26.039","Green","Track","22.273","16.533","12.867","15.834","11.660","0.673","24.392","5.448","0.223","121.572"
