"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"23","GTD","Ian James","6","11:46.976","30:33.172","Green","Track","589.946","32.675","24.765","8.670","7.168","6.810","12.729","7.856","6.872","5.705","0.512","3.268","159.801"
"9","GTD","Said/Habul/Vautier/von Molke ","2","12:26.467","30:42.328","Green","Track","0.000","32.058","24.290","8.278","6.708","6.442","12.148","7.466","6.454","5.342","0.483","3.077","169.396"
"02","P","Jamie McMurray","5","2:15.932","30:49.258","Green","Track","30.411","30.890","22.114","7.554","6.144","6.044","11.415","6.827","6.034","5.086","0.461","2.952","177.480"
"48","GTD","Bryce Miller","8","2:13.612","30:50.946","Green","Track","29.476","28.452","22.325","7.847","6.318","5.898","11.329","7.133","6.206","5.173","0.469","2.986","174.452"
"52","PC","Tom Kimber-Smith","5","18:48.439","31:09.180","Green","Pit","13.034","25.535","22.048","7.838","6.373","6.341","11.332","7.024","6.288","10.660","0.000","0.000","0.000"
"31","P","Eric Curran","7","1:44.473","31:12.006","Green","Track","11.615","23.292","20.285","7.137","5.835","5.538","10.148","6.603","5.829","4.901","0.444","2.846","184.275"
"0","P","Katherine Legge","3","11:48.833","31:17.795","Green","Track","599.651","30.132","23.094","7.594","6.182","8.007","12.687","6.851","6.093","5.130","0.464","2.948","176.332"
"4","GTLM","Gavin/Milner/Fassler ","6","1:49.608","31:20.903","Green","","0.000","0.000","0.000","0.000","0.000","0.000","887.148","0.000","0.000","984.188","0.000","0.000","0.000"
"2","P","Johannes van Overbeek","3","1:50.227","31:25.104","Green","Track","12.768","25.164","21.645","7.293","5.972","5.765","10.855","6.652","5.898","4.922","0.446","2.847","183.449"
"88","PC","Sean Johnston","1","22:12.626","31:37.601","Green","Track","1221.236","29.371","23.087","8.129","7.075","7.044","12.157","7.585","7.053","6.010","0.524","3.355","156.142"
"25","GTLM","Auberlen/Werner/Farfus/ Spengler","3","2:46.946","31:41.129","Green","Track","30.779","32.899","26.151","11.331","9.429","8.847","14.285","10.266","9.341","8.066","0.749","4.803","109.237"
