"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"63","GTD","Alessandro Balzan","34","2:09.292","1:05:54.456","Green","Track","4.653","15.449","1.024","19.814","17.045","23.498","1.519","16.830","12.063","10.630","2.381","4.386","77.237","53.414"
"23","GTD","Alex Riberas","34","2:08.574","1:05:55.435","Green","Track","4.050","14.886","1.079","20.392","16.927","23.204","1.490","17.730","11.343","10.538","2.459","4.476","73.300","54.454"
"6","GTD","Andrew Davis","34","2:08.357","1:05:55.950","Green","Track","3.910","15.255","1.156","20.403","16.470","23.582","1.635","17.574","11.156","10.324","2.417","4.475","68.418","49.625"
"16","GTD","Corey Lewis","34","2:04.664","1:05:56.861","Green","Track","3.616","13.964","0.775","18.510","16.538","23.194","1.639","17.856","11.235","10.456","2.419","4.462","102.053","49.504"
"22","GTD","Leh Keen","34","2:03.565","1:05:57.729","Green","Track","3.961","13.470","0.682","18.429","15.942","23.055","1.517","17.823","11.264","10.499","2.460","4.463","115.969","53.485"
"48","GTD","Madison Snow","34","2:03.409","1:05:58.089","Green","Track","3.922","14.388","0.772","17.363","16.427","22.974","1.390","17.915","10.855","10.495","2.437","4.471","102.449","58.371"
"96","GTD","Jens Klingmann","34","2:03.821","1:05:59.081","Green","Track","4.155","14.495","0.805","17.135","16.647","24.136","1.596","17.215","10.583","10.152","2.422","4.480","98.250","50.837"
"97","GTD","Markus Palttala","34","2:03.703","1:05:59.700","Green","Track","3.942","14.814","0.862","16.990","16.606","24.067","1.767","17.057","10.554","10.195","2.406","4.443","91.753","45.918"
"44","GTD","Andy Lally","34","2:02.101","1:06:00.765","Green","Track","3.442","13.261","0.848","17.025","16.501","24.228","1.539","17.160","10.714","10.447","2.434","4.502","93.268","52.720"
"27","GTD","Cedric Sbirrazzuoli","34","2:02.022","1:06:01.275","Green","Track","3.693","13.065","0.771","16.981","16.431","24.556","1.649","16.904","10.718","10.339","2.439","4.476","102.582","49.203"
"85","PC","Misha Goikhberg","11","2:36.355","1:06:05.431","Green","Pit","7.114","22.881","1.802","22.106","15.910","22.033","1.378","18.619","12.341","12.486","8.102","11.583","43.891","58.880"
"10","P","Jordan Taylor","35","1:26.807","1:07:13.579","Green","Track","3.356","11.584","0.528","13.131","9.907","9.032","0.535","13.061","9.792","9.566","2.205","4.110","149.793","151.657"
"5","P","Joao Barbosa","35","1:27.652","1:07:14.633","Green","Track","3.471","11.843","0.523","13.482","9.955","8.871","0.552","13.434","9.832","9.532","2.144","4.013","151.225","146.986"
"54","PC","Colin Braun","35","1:28.173","1:07:15.791","Green","Track","3.288","12.205","0.546","13.296","10.032","9.220","0.549","13.137","9.875","9.594","2.236","4.195","144.855","147.789"
"55","P","Jonathan Bomarito","35","1:29.231","1:07:17.018","Green","Track","3.645","12.064","0.530","13.630","10.067","9.067","0.560","13.477","10.049","9.807","2.208","4.127","149.228","144.886"
"8","PC","Renger Van Der Zande","35","1:29.579","1:07:18.192","Green","Track","3.244","12.309","0.539","13.630","10.313","9.174","0.554","13.487","10.051","9.812","2.262","4.204","146.736","146.456"
"70","P","Joel Miller","35","1:30.078","1:07:19.098","Green","Track","3.598","12.322","0.533","13.843","10.522","9.057","0.558","13.484","10.095","9.761","2.205","4.100","148.388","145.406"
"31","P","Dane Cameron","18","1:30.062","1:07:20.608","Green","Track","3.590","12.051","0.524","13.831","10.596","8.944","0.536","13.684","10.102","9.952","2.190","4.062","150.937","151.374"
"52","PC","Tom Kimber-Smith","35","1:32.110","1:07:20.958","Green","Track","3.460","12.528","0.548","14.355","10.651","9.280","0.556","13.746","10.228","10.012","2.316","4.430","144.326","145.929"
"38","PC","Kyle Marcelli","35","1:31.913","1:07:21.776","Green","Track","3.324","12.402","0.543","13.990","10.746","9.421","0.597","14.026","10.270","10.126","2.277","4.191","145.655","135.907"
"20","PC","Johnny Mowlem","35","1:32.165","1:07:22.510","Green","Track","3.552","12.469","0.618","14.466","10.420","9.303","0.550","13.877","10.392","10.082","2.252","4.184","127.979","147.521"
"33","GTD","Jeroen Bleekemolen","35","1:32.524","1:07:25.948","Green","Track","3.432","12.808","0.558","13.988","10.750","9.600","0.561","13.566","10.388","10.150","2.357","4.366","141.740","144.628"
"73","GTD","Jorg Bergmeister","35","1:32.809","1:07:26.856","Green","Track","3.505","12.786","0.566","13.802","10.644","9.731","0.576","13.631","10.532","10.221","2.397","4.418","139.737","140.862"
"63","GTD","Alessandro Balzan","35","1:32.790","1:07:27.246","Green","Track","3.494","12.734","0.559","13.866","10.676","9.631","0.563","13.776","10.415","10.354","2.356","4.366","141.486","144.114"
"23","GTD","Alex Riberas","35","1:33.315","1:07:28.750","Green","Track","3.494","12.674","0.566","14.007","10.697","9.762","0.569","13.857","10.383","10.422","2.423","4.461","139.737","142.595"
"6","GTD","Andrew Davis","35","1:33.151","1:07:29.101","Green","Track","3.500","12.828","0.574","13.920","10.605","9.898","0.579","13.764","10.348","10.246","2.417","4.472","137.789","140.132"
"16","GTD","Corey Lewis","35","1:32.799","1:07:29.660","Green","Track","3.400","12.726","0.568","13.824","10.535","9.806","0.580","13.748","10.481","10.285","2.399","4.447","139.245","139.890"
"22","GTD","Leh Keen","35","1:32.777","1:07:30.506","Green","Track","3.443","12.725","0.564","13.923","10.705","9.720","0.566","13.707","10.328","10.270","2.404","4.422","140.232","143.350"
"48","GTD","Madison Snow","35","1:33.351","1:07:31.440","Green","Track","3.435","12.926","0.568","13.949","10.616","9.803","0.577","13.748","10.430","10.445","2.401","4.453","139.245","140.618"
"96","GTD","Jens Klingmann","35","1:32.882","1:07:31.963","Green","Track","3.334","12.648","0.573","13.751","10.622","9.820","0.574","13.664","10.436","10.372","2.472","4.616","138.030","141.353"
"97","GTD","Markus Palttala","35","1:32.554","1:07:32.254","Green","Track","3.409","12.615","0.569","13.709","10.541","9.817","0.570","13.727","10.443","10.293","2.406","4.455","139.000","142.344"
"44","GTD","Andy Lally","35","1:32.615","1:07:33.380","Green","Track","3.335","12.725","0.571","13.798","10.440","9.932","0.579","13.595","10.368","10.366","2.421","4.485","138.513","140.132"
"27","GTD","Cedric Sbirrazzuoli","35","1:33.064","1:07:34.339","Green","Track","3.453","12.727","0.563","13.832","10.568","9.826","0.574","13.732","10.461","10.364","2.460","4.504","140.481","141.353"
"10","P","Jordan Taylor","36","1:25.739","1:08:39.318","Green","Track","3.081","11.499","0.525","12.852","9.919","9.001","0.532","12.757","9.786","9.501","2.193","4.093","150.649","152.512"
"5","P","Joao Barbosa","36","1:26.764","1:08:41.397","Green","Track","3.159","11.598","0.520","13.011","10.300","8.860","0.545","13.303","9.801","9.499","2.153","4.015","152.098","148.874"
"85","PC","Misha Goikhberg","12","2:36.302","1:08:41.733","Green","Pit","35.660","17.468","0.680","16.016","11.605","11.165","0.732","16.578","12.318","12.850","8.117","13.113","116.310","110.842"
"54","PC","Colin Braun","36","1:27.147","1:08:42.938","Green","Track","3.179","11.863","0.543","13.045","9.925","9.217","0.549","12.933","9.878","9.535","2.266","4.214","145.655","147.789"
"55","P","Jonathan Bomarito","36","1:28.674","1:08:45.692","Green","Track","3.421","11.996","0.538","13.270","10.006","9.118","0.547","13.439","10.031","9.934","2.231","4.143","147.009","148.330"
"8","PC","Renger Van Der Zande","36","1:28.408","1:08:46.600","Green","Track","3.271","12.082","0.543","13.423","10.218","9.167","0.545","13.078","9.875","9.747","2.263","4.196","145.655","148.874"
