"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"10","P","Jordan Taylor","6","8:04.804","18:36.067","Green","Track","368.526","12.444","19.792","0.480","21.631","26.414","19.684","11.292","4.541","171.283"
"77","GTD","Gunnar Jeannette","7","3:58.456","18:39.178","Green","Pit","5.424","10.371","21.004","0.514","23.069","30.007","21.742","14.295","112.030","159.953"
"0","P","Sean Rayhall","8","1:58.582","18:46.063","Green","Track","5.013","9.480","19.259","0.477","21.672","26.977","19.789","11.430","4.485","172.360"
"31","P","Dane Cameron","8","1:55.954","18:47.387","Green","Track","4.997","9.260","19.100","0.472","21.017","26.278","19.216","11.135","4.479","174.186"
"55","P","Tristan Nunez","7","6:26.933","18:52.615","Green","Track","272.458","12.087","19.645","0.480","21.382","25.729","19.510","11.157","4.485","171.283"
"23","GTD","Alex Riberas","7","2:09.257","19:20.528","Green","Track","5.541","10.407","20.943","0.521","23.614","29.563","21.475","12.212","4.981","157.804"
"85","PC","Misha Goikhberg","9","2:03.454","19:23.966","Green","Track","5.300","9.871","19.745","0.501","21.914","27.091","21.703","12.573","4.756","164.104"
"66","GTLM","Joey Hand","7","5:50.915","19:26.256","Green","Track","224.565","14.478","21.304","0.549","23.202","28.713","21.223","11.996","4.885","149.756"
"52","PC","Tom Kimber-Smith","8","1:59.695","19:26.354","Green","Track","5.288","9.538","19.653","0.498","21.584","27.114","19.934","11.435","4.651","165.092"
"5","P","Christian Fittipaldi","8","1:57.595","19:30.223","Green","Track","5.027","9.271","19.044","0.472","21.203","26.881","19.650","11.514","4.533","174.186"
"97","GTD","Markus Palttala","8","3:12.329","19:38.406","Green","Track","57.134","15.299","22.305","0.529","26.250","31.229","22.083","12.521","4.979","155.418"
"20","PC","Bruno Junqueira","8","1:59.624","19:40.665","Green","Track","5.268","9.708","19.637","0.500","21.652","26.955","19.806","11.413","4.685","164.432"
"70","P","Tom Long","7","4:42.890","19:47.278","Green","Track","162.988","13.402","19.984","0.480","22.316","27.655","20.242","11.315","4.508","171.283"
"54","PC","Colin Braun","7","2:19.821","19:48.547","Green","Pit","5.293","9.825","19.863","0.500","21.967","29.198","20.478","13.955","18.742","164.432"
"48","GTD","Madison Snow","8","2:08.498","19:49.937","Green","Track","5.382","10.472","20.851","0.507","22.920","29.470","21.660","12.360","4.876","162.162"
"25","GTLM","Bill Auberlen","8","2:05.918","19:50.050","Green","Track","5.472","10.093","20.677","0.516","22.416","28.919","20.661","12.301","4.863","159.333"
"912","GTLM","Frederic Makowiecki","8","2:04.389","19:51.677","Green","Track","5.411","9.992","20.324","0.508","22.329","28.201","20.751","11.997","4.876","161.842"
"62","GTLM","Giancarlo Fisichella","7","5:19.028","20:06.181","Green","Track","194.538","13.036","21.186","0.517","22.943","28.709","21.133","12.054","4.912","159.025"
"7","PC","Gustavo Yacaman","8","4:45.122","20:07.102","Green","Track","162.635","13.384","20.728","0.495","23.035","28.001","20.151","12.042","4.651","166.093"
"80","GTD","Dan Knox","7","2:16.456","20:17.090","Green","Track","5.421","11.106","21.483","0.513","25.519","31.738","22.520","13.234","4.922","160.265"
"96","GTD","Jens Klingmann","7","2:09.340","20:18.643","Green","Track","5.488","10.613","21.024","0.515","23.192","29.471","21.735","12.332","4.970","159.643"
"88","PC","Mark Kvamme","8","2:08.452","20:22.838","Green","Track","5.288","10.460","20.614","0.501","23.474","29.892","21.524","12.000","4.699","164.104"
"67","GTLM","Ryan Briscoe","4","2:04.154","20:31.700","Green","Track","5.418","9.987","20.424","0.507","22.343","27.884","20.847","11.873","4.871","162.162"
"33","GTD","Jeroen Bleekemolen","6","5:06.656","20:36.628","Green","Track","178.265","13.022","21.392","0.513","24.430","30.185","21.668","12.289","4.892","160.265"
"44","GTD","John Potter","9","2:10.708","20:41.494","Green","Track","5.499","10.508","21.206","0.515","23.730","29.991","21.745","12.524","4.990","159.643"
"55","P","Tristan Nunez","8","1:57.062","20:49.677","Green","Track","5.044","10.315","19.249","0.478","21.295","25.619","19.346","11.222","4.494","172.000"
"10","P","Jordan Taylor","7","2:15.528","20:51.595","Green","Pit","5.076","9.369","19.306","0.477","21.930","26.502","21.137","13.189","18.542","172.360"
"31","P","Dane Cameron","9","2:13.036","21:00.423","Green","Pit","4.966","9.312","19.155","0.472","21.357","26.654","19.484","13.112","18.524","174.186"
"90","P","Marc Goossens","7","8:05.975","21:04.272","Green","Track","366.739","12.792","20.696","0.481","22.386","26.927","19.904","11.490","4.560","170.927"
"0","P","Sean Rayhall","9","2:19.418","21:05.481","Green","Pit","5.013","9.766","20.246","0.532","22.596","27.685","20.290","14.304","18.986","154.541"
"27","GTD","Luca Persiani","1","21:16.564","21:16.564","Green","Track","21.481","17.763","23.980","0.655","27.896","32.931","23.886","13.027","5.195","125.520"
"38","PC","Kyle Marcelli","8","4:57.898","21:17.995","Green","Track","178.477","12.663","20.190","0.494","22.313","27.095","20.294","11.690","4.682","166.429"
